county,precinct,office,district,candidate,party,election_day,early_voting,mail,votes
Fountain,CAIN 1,President,,Susan Maude Buchser,,0,0,0,0
Fountain,CAIN 1,President,,Tom Hoefling,,0,0,0,0
Fountain,CAIN 1,President,,William Cody Nalbach,,0,0,0,0
Fountain,CAIN 1,President,,Under Votes,,2,4,0,6
Fountain,CAIN 1,President,,Over Votes,,0,0,0,0
Fountain,CAIN 1,President,,Write-ins,,0,0,0,0
Fountain,CAIN 1,U.S. Senate,,JIM BANKS,REP,336,61,30,427
Fountain,CAIN 1,U.S. Senate,,VALERIE McCRAY,DEM,60,22,12,94
Fountain,CAIN 1,U.S. Senate,,ANDREW HORNING,LIB,13,1,0,14
Fountain,CAIN 1,U.S. Senate,,Antonio Xavier Alvarez,,0,0,0,0
Fountain,CAIN 1,U.S. Senate,,Phillip D. Beachy (Phil),,0,0,0,0
Fountain,CAIN 1,U.S. Senate,,Under Votes,,5,2,1,8
Fountain,CAIN 1,U.S. Senate,,Over Votes,,0,0,0,0
Fountain,CAIN 1,U.S. Senate,,Write-ins,,0,0,0,0
Fountain,CAIN 1,Governor,,MIKE BRAUN MICAH BECKWITH,REP,299,53,29,381
Fountain,CAIN 1,Governor,,JENNIFER G. McCORMICK TERRY GOODIN,DEM,71,26,12,109
Fountain,CAIN 1,Governor,,DONALD RAINWATER TONYA HUDSON,LIB,40,5,2,47
Fountain,CAIN 1,Governor,,Christopher Ryan Stried,,0,0,0,0
Fountain,CAIN 1,Governor,,Under Votes,,4,2,0,6
Fountain,CAIN 1,Governor,,Over Votes,,0,0,0,0
Fountain,CAIN 1,Governor,,Write-ins,,0,0,0,0
Fountain,CAIN 1,Attorney General,,TODD ROKITA,REP,331,59,30,420
Fountain,CAIN 1,Attorney General,,DESTINY WELLS,DEM,78,24,13,115
Fountain,CAIN 1,Attorney General,,Under Votes,,5,3,0,8
Fountain,CAIN 1,Attorney General,,Over Votes,,0,0,0,0
Fountain,CAIN 1,Attorney General,,Write-ins,,0,0,0,0
Fountain,CAIN 1,U.S. House,4,JIM BAIRD,REP,333,62,30,425
Fountain,CAIN 1,U.S. House,4,DERRICK HOLDER,DEM,56,20,12,88
Fountain,CAIN 1,U.S. House,4,ASHLEY GROFF,LIB,18,0,1,19
Fountain,CAIN 1,U.S. House,4,Under Votes,,7,4,0,11
Fountain,CAIN 1,U.S. House,4,Over Votes,,0,0,0,0
Fountain,CAIN 1,U.S. House,4,Write-ins,,0,0,0,0
Fountain,CAIN 1,State House,13,MATTHEW (MATT) COMMONS,REP,343,61,31,435
Fountain,CAIN 1,State House,13,EDWARD (ED) MOYER JR.,DEM,64,22,11,97
Fountain,CAIN 1,State House,13,Under Votes,,7,3,1,11
Fountain,CAIN 1,State House,13,Over Votes,,0,0,0,0
Fountain,CAIN 1,State House,13,Write-ins,,0,0,0,0
Fountain,CAIN 1,COUNTY AUDITOR,,KIM JOHNSON,REP,377,71,39,487
Fountain,CAIN 1,COUNTY AUDITOR,,Under Votes,,37,15,4,56
Fountain,CAIN 1,COUNTY AUDITOR,,Over Votes,,0,0,0,0
Fountain,CAIN 1,COUNTY AUDITOR,,Write-ins,,0,0,0,0
Fountain,CAIN 1,COUNTY TREASURER,,TIFFANY GRUBB-WELLS,REP,376,71,37,484
Fountain,CAIN 1,COUNTY TREASURER,,Under Votes,,38,15,6,59
Fountain,CAIN 1,COUNTY TREASURER,,Over Votes,,0,0,0,0
Fountain,CAIN 1,COUNTY TREASURER,,Write-ins,,0,0,0,0
Fountain,CAIN 1,COUNTY CORONER,,KAYLA A HOLT,REP,377,71,40,488
Fountain,CAIN 1,COUNTY CORONER,,Under Votes,,37,15,3,55
Fountain,CAIN 1,COUNTY CORONER,,Over Votes,,0,0,0,0
Fountain,CAIN 1,COUNTY CORONER,,Write-ins,,0,0,0,0
Fountain,CAIN 1,County Commissioner,1,AARON FRUITS,REP,350,64,34,448
Fountain,CAIN 1,County Commissioner,1,KATHY POSTON,DEM,58,18,8,84
Fountain,CAIN 1,County Commissioner,1,Under Votes,,6,4,1,11
Fountain,CAIN 1,County Commissioner,1,Over Votes,,0,0,0,0
Fountain,CAIN 1,County Commissioner,1,Write-ins,,0,0,0,0
Fountain,CAIN 1,County Commissioner,2,KENNETH KW RICE,REP,326,59,33,418
Fountain,CAIN 1,County Commissioner,2,LEXXI HADDOCK,DEM,74,22,8,104
Fountain,CAIN 1,County Commissioner,2,Under Votes,,14,5,2,21
Fountain,CAIN 1,County Commissioner,2,Over Votes,,0,0,0,0
Fountain,CAIN 1,County Commissioner,2,Write-ins,,0,0,0,0
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,KELLY CARLSON,REP,246,42,24,312
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,JEFFREY C CARVER,REP,294,57,33,384
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,TODD HEGG,REP,202,38,16,256
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,MARK BERTOLINO,DEM,35,12,5,52
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,TOM BOOE,DEM,110,26,14,150
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,CRAIG VANHOOK,DEM,64,23,8,95
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,Under Votes,,291,60,29,380
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,Over Votes,,0,0,0,0
Fountain,CAIN 1,"COUNTY COUNCIL, AT LARGE",,Write-ins,,0,0,0,0
Fountain,CAIN 1,"TOWN CLERK-TREASURER, HILLSBORO",,DIANA DOTSON,REP,155,28,20,203
Fountain,CAIN 1,"TOWN CLERK-TREASURER, HILLSBORO",,Under Votes,,14,4,0,18
Fountain,CAIN 1,"TOWN CLERK-TREASURER, HILLSBORO",,Over Votes,,0,0,0,0
Fountain,CAIN 1,"TOWN CLERK-TREASURER, HILLSBORO",,Write-ins,,0,0,0,0
Fountain,CAIN 1,"TOWN COUNCIL MEMBER, HILLSBORO",,TJ GOLIA,DEM,89,24,10,123
Fountain,CAIN 1,"TOWN COUNCIL MEMBER, HILLSBORO",,Under Votes,,80,8,10,98
Fountain,CAIN 1,"TOWN COUNCIL MEMBER, HILLSBORO",,Over Votes,,0,0,0,0
Fountain,CAIN 1,"TOWN COUNCIL MEMBER, HILLSBORO",,Write-ins,,0,0,0,0
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,JOSHUA J FOXWORTHY,NON,356,66,36,458
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,Under Votes,,58,20,7,85
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,Over Votes,,0,0,0,0
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,Write-ins,,0,0,0,0
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,TYLER BOWLING,NON,264,49,27,340
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,AMY J MUSSER,NON,89,20,5,114
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,Under Votes,,61,17,11,89
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,Over Votes,,0,0,0,0
Fountain,CAIN 1,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,Write-ins,,0,0,0,0
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,YES,,235,45,26,306
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,NO,,110,22,3,135
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,Under Votes,,69,19,14,102
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,Over Votes,,0,0,0,0
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,Write-ins,,0,0,0,0
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,YES,,240,46,23,309
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,NO,,100,20,4,124
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,Under Votes,,74,20,16,110
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,Over Votes,,0,0,0,0
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,Write-ins,,0,0,0,0
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,YES,,237,44,26,307
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,NO,,101,22,2,125
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,Under Votes,,76,20,15,111
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,Over Votes,,0,0,0,0
Fountain,CAIN 1,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,Write-ins,,0,0,0,0
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,YES,,241,47,24,312
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,NO,,95,19,4,118
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,Under Votes,,78,20,15,113
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,Over Votes,,0,0,0,0
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,Write-ins,,0,0,0,0
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,YES,,238,45,26,309
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,NO,,98,21,2,121
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,Under Votes,,78,20,15,113
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,Over Votes,,0,0,0,0
Fountain,CAIN 1,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,Write-ins,,0,0,0,0
Fountain,CAIN 2,Registered Voters,,,,,,,24
Fountain,CAIN 2,Ballots Cast,,,,,,,16
Fountain,CAIN 2,Straight Party,,REPUBLICAN PARTY,REP,5,0,2,7
Fountain,CAIN 2,Straight Party,,DEMOCRATIC PARTY,DEM,0,0,1,1
Fountain,CAIN 2,Straight Party,,LIBERTARIAN PARTY,LIB,0,0,0,0
Fountain,CAIN 2,Straight Party,,WE THE PEOPLE PARTY,WTP,0,0,0,0
Fountain,CAIN 2,Straight Party,,Under Votes,,7,0,1,8
Fountain,CAIN 2,Straight Party,,Over Votes,,0,0,0,0
Fountain,CAIN 2,Straight Party,,Write-ins,,0,0,0,0
Fountain,CAIN 2,PUBLIC QUESTION #1,,YES,,7,0,1,8
Fountain,CAIN 2,PUBLIC QUESTION #1,,NO,,3,0,3,6
Fountain,CAIN 2,PUBLIC QUESTION #1,,Under Votes,,2,0,0,2
Fountain,CAIN 2,PUBLIC QUESTION #1,,Over Votes,,0,0,0,0
Fountain,CAIN 2,PUBLIC QUESTION #1,,Write-ins,,0,0,0,0
Fountain,CAIN 2,President,,Donald J. Trump,REP,10,0,3,13
Fountain,CAIN 2,President,,Kamala D. Harris,DEM,2,0,1,3
Fountain,CAIN 2,President,,Chase Oliver,LIB,0,0,0,0
Fountain,CAIN 2,President,,Robert F. Kennedy Jr.,WTP,0,0,0,0
Fountain,CAIN 2,President,,Andre Ramon McNeil Sr.,,0,0,0,0
Fountain,CAIN 2,President,,Carol Asher,,0,0,0,0
Fountain,CAIN 2,President,,Cherunda Lyn Fox,,0,0,0,0
Fountain,CAIN 2,President,,Cornel West,,0,0,0,0
Fountain,CAIN 2,President,,Doug Jenkins,,0,0,0,0
Fountain,CAIN 2,President,,Paij Boring,,0,0,0,0
Fountain,CAIN 2,President,,Peter Sonski,,0,0,0,0
Fountain,CAIN 2,President,,Shondra Irving,,0,0,0,0
Fountain,CAIN 2,President,,Susan Maude Buchser,,0,0,0,0
Fountain,CAIN 2,President,,Tom Hoefling,,0,0,0,0
Fountain,CAIN 2,President,,William Cody Nalbach,,0,0,0,0
Fountain,CAIN 2,President,,Under Votes,,0,0,0,0
Fountain,CAIN 2,President,,Over Votes,,0,0,0,0
Fountain,CAIN 2,President,,Write-ins,,0,0,0,0
Fountain,CAIN 2,U.S. Senate,,JIM BANKS,REP,11,0,3,14
Fountain,CAIN 2,U.S. Senate,,VALERIE McCRAY,DEM,1,0,1,2
Fountain,CAIN 2,U.S. Senate,,ANDREW HORNING,LIB,0,0,0,0
Fountain,CAIN 2,U.S. Senate,,Antonio Xavier Alvarez,,0,0,0,0
Fountain,CAIN 2,U.S. Senate,,Phillip D. Beachy (Phil),,0,0,0,0
Fountain,CAIN 2,U.S. Senate,,Under Votes,,0,0,0,0
Fountain,CAIN 2,U.S. Senate,,Over Votes,,0,0,0,0
Fountain,CAIN 2,U.S. Senate,,Write-ins,,0,0,0,0
Fountain,CAIN 2,Governor,,MIKE BRAUN MICAH BECKWITH,REP,10,0,3,13
Fountain,CAIN 2,Governor,,JENNIFER G. McCORMICK TERRY GOODIN,DEM,2,0,1,3
Fountain,CAIN 2,Governor,,DONALD RAINWATER TONYA HUDSON,LIB,0,0,0,0
Fountain,CAIN 2,Governor,,Christopher Ryan Stried,,0,0,0,0
Fountain,CAIN 2,Governor,,Under Votes,,0,0,0,0
Fountain,CAIN 2,Governor,,Over Votes,,0,0,0,0
Fountain,CAIN 2,Governor,,Write-ins,,0,0,0,0
Fountain,CAIN 2,Attorney General,,TODD ROKITA,REP,9,0,3,12
Fountain,CAIN 2,Attorney General,,DESTINY WELLS,DEM,3,0,1,4
Fountain,CAIN 2,Attorney General,,Under Votes,,0,0,0,0
Fountain,CAIN 2,Attorney General,,Over Votes,,0,0,0,0
Fountain,CAIN 2,Attorney General,,Write-ins,,0,0,0,0
Fountain,CAIN 2,U.S. House,8,MARK MESSMER,REP,10,0,3,13
Fountain,CAIN 2,U.S. House,8,ERIK HURT,DEM,2,0,1,3
Fountain,CAIN 2,U.S. House,8,K RICHARD FITZLAFF,LIB,0,0,0,0
Fountain,CAIN 2,U.S. House,8,Under Votes,,0,0,0,0
Fountain,CAIN 2,U.S. House,8,Over Votes,,0,0,0,0
Fountain,CAIN 2,U.S. House,8,Write-ins,,0,0,0,0
Fountain,CAIN 2,State House,13,MATTHEW (MATT) COMMONS,REP,10,0,3,13
Fountain,CAIN 2,State House,13,EDWARD (ED) MOYER JR.,DEM,2,0,1,3
Fountain,CAIN 2,State House,13,Under Votes,,0,0,0,0
Fountain,CAIN 2,State House,13,Over Votes,,0,0,0,0
Fountain,CAIN 2,State House,13,Write-ins,,0,0,0,0
Fountain,CAIN 2,COUNTY AUDITOR,,KIM JOHNSON,REP,10,0,3,13
Fountain,CAIN 2,COUNTY AUDITOR,,Under Votes,,2,0,1,3
Fountain,CAIN 2,COUNTY AUDITOR,,Over Votes,,0,0,0,0
Fountain,CAIN 2,COUNTY AUDITOR,,Write-ins,,0,0,0,0
Fountain,CAIN 2,COUNTY TREASURER,,TIFFANY GRUBB-WELLS,REP,10,0,3,13
Fountain,CAIN 2,COUNTY TREASURER,,Under Votes,,2,0,1,3
Fountain,CAIN 2,COUNTY TREASURER,,Over Votes,,0,0,0,0
Fountain,CAIN 2,COUNTY TREASURER,,Write-ins,,0,0,0,0
Fountain,CAIN 2,COUNTY CORONER,,KAYLA A HOLT,REP,10,0,3,13
Fountain,CAIN 2,COUNTY CORONER,,Under Votes,,2,0,1,3
Fountain,CAIN 2,COUNTY CORONER,,Over Votes,,0,0,0,0
Fountain,CAIN 2,COUNTY CORONER,,Write-ins,,0,0,0,0
Fountain,CAIN 2,County Commissioner,1,AARON FRUITS,REP,11,0,3,14
Fountain,CAIN 2,County Commissioner,1,KATHY POSTON,DEM,1,0,1,2
Fountain,CAIN 2,County Commissioner,1,Under Votes,,0,0,0,0
Fountain,CAIN 2,County Commissioner,1,Over Votes,,0,0,0,0
Fountain,CAIN 2,County Commissioner,1,Write-ins,,0,0,0,0
Fountain,CAIN 2,County Commissioner,2,KENNETH KW RICE,REP,10,0,3,13
Fountain,CAIN 2,County Commissioner,2,LEXXI HADDOCK,DEM,2,0,1,3
Fountain,CAIN 2,County Commissioner,2,Under Votes,,0,0,0,0
Fountain,CAIN 2,County Commissioner,2,Over Votes,,0,0,0,0
Fountain,CAIN 2,County Commissioner,2,Write-ins,,0,0,0,0
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,KELLY CARLSON,REP,7,0,1,8
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,JEFFREY C CARVER,REP,9,0,2,11
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,TODD HEGG,REP,5,0,3,8
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,MARK BERTOLINO,DEM,0,0,1,1
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,TOM BOOE,DEM,1,0,2,3
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,CRAIG VANHOOK,DEM,4,0,1,5
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,Under Votes,,10,0,2,12
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,Over Votes,,0,0,0,0
Fountain,CAIN 2,"COUNTY COUNCIL, AT LARGE",,Write-ins,,0,0,0,0
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,JOSHUA J FOXWORTHY,NON,9,0,4,13
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,Under Votes,,3,0,0,3
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,Over Votes,,0,0,0,0
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, CAIN",,Write-ins,,0,0,0,0
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,TYLER BOWLING,NON,7,0,2,9
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,AMY J MUSSER,NON,2,0,1,3
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,Under Votes,,3,0,1,4
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,Over Votes,,0,0,0,0
Fountain,CAIN 2,"SCHOOL BOARD MEMBER SOUTHEAST FOUNTAIN SCHOOL BOARD, JACKSON",,Write-ins,,0,0,0,0
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,YES,,3,0,2,5
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,NO,,5,0,1,6
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,Under Votes,,4,0,1,5
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,Over Votes,,0,0,0,0
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA RUSH,,Write-ins,,0,0,0,0
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,YES,,3,0,2,5
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,NO,,5,0,1,6
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,Under Votes,,4,0,1,5
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,Over Votes,,0,0,0,0
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MASSA,,Write-ins,,0,0,0,0
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,YES,,3,0,2,5
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,NO,,5,0,1,6
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,Under Votes,,4,0,1,5
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,Over Votes,,0,0,0,0
Fountain,CAIN 2,RETENTION OF JUSTICE OF THE SUPREME COURT OF INDIANA MOLTER,,Write-ins,,0,0,0,0
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,YES,,2,0,2,4
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,NO,,6,0,1,7
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,Under Votes,,4,0,1,5
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,Over Votes,,0,0,0,0
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FIRST DISTRICT,,Write-ins,,0,0,0,0
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,YES,,3,0,2,5
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,NO,,5,0,1,6
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,Under Votes,,4,0,1,5
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,Over Votes,,0,0,0,0
Fountain,CAIN 2,COURT OF APPEALS JUDICIAL RETENTION FOURTH DISTRICT,,Write-ins,,0,0,0,0
Fountain,DAVIS,Registered Voters,,,,,,,450
Fountain,DAVIS,Ballots Cast,,,,,,,304
Fountain,DAVIS,Straight Party,,REPUBLICAN PARTY,REP,86,34,23,143
Fountain,DAVIS,Straight Party,,DEMOCRATIC PARTY,DEM,8,14,5,27
Fountain,DAVIS,Straight Party,,LIBERTARIAN PARTY,LIB,1,1,0,2
Fountain,DAVIS,Straight Party,,WE THE PEOPLE PARTY,WTP,2,0,0,2
Fountain,DAVIS,Straight Party,,Under Votes,,85,21,24,130
Fountain,DAVIS,Straight Party,,Over Votes,,0,0,0,0
Fountain,DAVIS,Straight Party,,Write-ins,,0,0,0,0
Fountain,DAVIS,PUBLIC QUESTION #1,,YES,,92,25,24,141
Fountain,DAVIS,PUBLIC QUESTION #1,,NO,,75,36,20,131
Fountain,DAVIS,PUBLIC QUESTION #1,,Under Votes,,15,9,8,32
Fountain,DAVIS,PUBLIC QUESTION #1,,Over Votes,,0,0,0,0
Fountain,DAVIS,PUBLIC QUESTION #1,,Write-ins,,0,0,0,0
Fountain,DAVIS,President,,Donald J. Trump,REP,143,46,40,229
Fountain,DAVIS,President,,Kamala D. Harris,DEM,32,22,12,66
Fountain,DAVIS,President,,Chase Oliver,LIB,1,1,0,2
Fountain,DAVIS,President,,Robert F. Kennedy Jr.,WTP,5,1,0,6
Fountain,DAVIS,President,,Andre Ramon McNeil Sr.,,0,0,0,0
Fountain,DAVIS,President,,Carol Asher,,0,0,0,0
Fountain,DAVIS,President,,Cherunda Lyn Fox,,0,0,0,0
Fountain,DAVIS,President,,Cornel West,,0,0,0,0
Fountain,DAVIS,President,,Doug Jenkins,,0,0,0,0
Fountain,DAVIS,President,,Paij Boring,,0,0,0,0
Fountain,DAVIS,President,,Peter Sonski,,0,0,0,0
Fountain,DAVIS,President,,Shondra Irving,,0,0,0,0
Fountain,DAVIS,President,,Susan Maude Buchser,,0,0,0,0
Fountain,DAVIS,President,,Tom Hoefling,,0,0,0,0
Fountain,DAVIS,President,,William Cody Nalbach,,0,0,0,0
Fountain,DAVIS,President,,Under Votes,,1,0,0,1
Fountain,DAVIS,President,,Over Votes,,0,0,0,0
Fountain,DAVIS,President,,Write-ins,,0,0,0,0
Fountain,DAVIS,U.S. Senate,,JIM BANKS,REP,139,45,38,222
Fountain,DAVIS,U.S. Senate,,VALERIE McCRAY,DEM,31,21,13,65
Fountain,DAVIS,U.S. Senate,,ANDREW HORNING,LIB,8,3,1,12
Fountain,DAVIS,U.S. Senate,,Antonio Xavier Alvarez,,0,0,0,0
Fountain,DAVIS,U.S. Senate,,Phillip D. Beachy (Phil),,0,0,0,0
Fountain,DAVIS,U.S. Senate,,Under Votes,,4,1,0,5
Fountain,DAVIS,U.S. Senate,,Over Votes,,0,0,0,0
Fountain,DAVIS,U.S. Senate,,Write-ins,,0,0,0,0
Fountain,DAVIS,Governor,,MIKE BRAUN MICAH BECKWITH,REP,126,42,34,202
Fountain,DAVIS,Governor,,JENNIFER G. McCORMICK TERRY GOODIN,DEM,37,22,13,72
