county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,
Warrick,ANDERSON,County Recorder,,REP,Patricia (Patty) Perry,496,9,238,249,
Warrick,ANDERSON,County Treasurer,,REP,Tabitha Heilman,493,9,236,248,
Warrick,ANDERSON,County Coroner,,REP,Alissa (Salee) Enright,507,9,244,254,
Warrick,ANDERSON,County Surveyor,,REP,Dennis Witzbacher,495,9,236,250,
Warrick,ANDERSON,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,434,8,217,211,
Warrick,ANDERSON,County Commissioner Dist 1,,DEM,John T. Mattingly,165,14,66,85,
Warrick,ANDERSON,County Commissioner Dist 3,,REP,Stacey Franz,429,9,211,211,
Warrick,ANDERSON,County Commissioner Dist 3,,DEM,Trent Curtis,176,12,76,88,
Warrick,ANDERSON,County Council At-Large,,REP,Ron Bacon,384,9,186,189,
Warrick,ANDERSON,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,359,5,180,174,
Warrick,ANDERSON,County Council At-Large,,REP,Brad Overton,361,5,182,174,
Warrick,ANDERSON,County Council At-Large,,DEM,Mason Barclay,176,10,70,96,
Warrick,ANDERSON,Warrick County School Board,,NP,Lynda G. Glover,205,5,89,107,
Warrick,ANDERSON,Warrick County School Board,,NP,Robert (Bobby) Howard,129,4,62,63,
Warrick,ANDERSON,Warrick County School Board,,NP,Brenda K. Metzger,266,11,132,123,
Warrick,ANDERSON,Warrick County School Board,,NP,Tim Mosbey,240,9,108,123,
Warrick,ANDERSON,Warrick County School Board,,NP,James (Jim) Post,216,5,112,100,
Warrick,ANDERSON,Warrick County School Board,,NP,Andrew E. Skinner,245,3,112,130,
Warrick,ANDERSON,IN Supreme Court-Rush,,,Yes,332,8,154,170,
Warrick,ANDERSON,IN Supreme Court-Rush,,,No,143,7,64,72,
Warrick,ANDERSON,IN Supreme Court-Massa,,,Yes,326,8,149,170,
Warrick,ANDERSON,IN Supreme Court-Massa,,,No,146,8,66,72,
Warrick,ANDERSON,IN Supreme Court-Molter,,,Yes,321,8,151,163,
Warrick,ANDERSON,IN Supreme Court-Molter,,,No,148,7,64,76,
Warrick,ANDERSON,Court of Appeals Dist 1-Foley,,,Yes,330,7,153,170,
Warrick,ANDERSON,Court of Appeals Dist 1-Foley,,,No,133,8,59,66,
Warrick,ANDERSON,Court of Appeals Dist 4-Pyle III,,,Yes,331,7,149,175,
Warrick,ANDERSON,Court of Appeals Dist 4-Pyle III,,,No,132,7,64,61,
Warrick,BOON 03,Registered Voters,,,,1219,,,,
Warrick,BOON 03,Ballots Cast,,,,766,41,353,372,
Warrick,BOON 03,Public Question-Const Amendment,,,Yes,329,8,147,174,
Warrick,BOON 03,Public Question-Const Amendment,,,No,317,9,159,149,
Warrick,BOON 03,President,,REP,Donald J. Trump,501,21,229,251,
Warrick,BOON 03,President,,DEM,Kamala D. Harris,249,19,119,111,
Warrick,BOON 03,President,,LIB,Chase Oliver,2,0,0,2,
Warrick,BOON 03,President,,WTP,Robert F. Kennedy Jr.,5,0,2,3,
Warrick,BOON 03,President,,,Write-In,1,0,1,0,
Warrick,BOON 03,U.S. Senate,,REP,Jim Banks,451,18,209,222,
Warrick,BOON 03,U.S. Senate,,DEM,Valerie McCray,240,20,111,105,
Warrick,BOON 03,U.S. Senate,,LIB,Andrew Horning,20,0,6,14,
Warrick,BOON 03,Governor,,REP,Mike Braun,454,20,210,224,
Warrick,BOON 03,Governor,,DEM,Jennifer G. McCormick,248,16,120,112,
Warrick,BOON 03,Governor,,LIB,Donald Rainwater II,23,0,9,14,
Warrick,BOON 03,Attorney General,,REP,Todd Rokita,487,21,223,243,
Warrick,BOON 03,Attorney General,,DEM,Destiny Wells,238,14,115,109,
Warrick,BOON 03,U.S. House,8,REP,Mark Messmer,476,22,220,234,
Warrick,BOON 03,U.S. House,8,DEM,Erik Hurt,235,15,115,105,
Warrick,BOON 03,U.S. House,8,LIB,S. Richard Fitzlaff,20,0,8,12,
Warrick,BOON 03,State Senate,50,REP,Vaneta Becker,511,25,236,249,
Warrick,BOON 03,State Senate,50,IND,John Woodard,124,2,56,66,
Warrick,BOON 03,State House,75,REP,Stephen Ledbetter,568,23,251,294,
Warrick,BOON 03,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,568,23,256,289,
Warrick,BOON 03,Judge Superior Court No. 2,,REP,Brett Michael Roy,583,24,259,300,
Warrick,BOON 03,Clerk Of The Circuit Court,,REP,Mike Wilson,582,22,260,299,
Warrick,BOON 03,County Recorder,,REP,Patricia (Patty) Perry,582,24,255,302,
Warrick,BOON 03,County Treasurer,,REP,Tabitha Heilman,576,25,257,294,
Warrick,BOON 03,County Coroner,,REP,Alissa (Salee) Enright,587,26,263,298,
Warrick,BOON 03,County Surveyor,,REP,Dennis Witzbacher,566,24,254,288,
Warrick,BOON 03,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,492,23,220,249,
Warrick,BOON 03,County Commissioner Dist 1,,DEM,John T. Mattingly,239,12,120,107,
Warrick,BOON 03,County Commissioner Dist 3,,REP,Stacey Franz,444,20,203,221,
Warrick,BOON 03,County Commissioner Dist 3,,DEM,Trent Curtis,273,15,133,125,
Warrick,BOON 03,County Council At-Large,,REP,Ron Bacon,401,14,182,200,
Warrick,BOON 03,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,393,14,174,199,
Warrick,BOON 03,County Council At-Large,,REP,Brad Overton,410,13,188,209,
Warrick,BOON 03,County Council At-Large,,DEM,Mason Barclay,285,13,133,139,
Warrick,BOON 03,Warrick County School Board,,NP,Lynda G. Glover,254,12,113,124,
Warrick,BOON 03,Warrick County School Board,,NP,Robert (Bobby) Howard,185,3,86,96,
Warrick,BOON 03,Warrick County School Board,,NP,Brenda K. Metzger,322,20,150,172,
Warrick,BOON 03,Warrick County School Board,,NP,Tim Mosbey,332,17,156,159,
Warrick,BOON 03,Warrick County School Board,,NP,James (Jim) Post,203,11,88,104,
Warrick,BOON 03,Warrick County School Board,,NP,Andrew E. Skinner,262,0,168,95,
Warrick,BOON 03,IN Supreme Court-Rush,,,Yes,376,11,161,204,
Warrick,BOON 03,IN Supreme Court-Rush,,,No,192,9,98,85,
Warrick,BOON 03,IN Supreme Court-Massa,,,Yes,366,8,153,204,
Warrick,BOON 03,IN Supreme Court-Massa,,,No,190,11,99,80,
Warrick,BOON 03,IN Supreme Court-Molter,,,Yes,376,11,161,206,
Warrick,BOON 03,IN Supreme Court-Molter,,,No,185,11,91,83,
Warrick,BOON 03,Court of Appeals Dist 1-Foley,,,Yes,374,8,161,205,
Warrick,BOON 03,Court of Appeals Dist 1-Foley,,,No,180,11,92,77,
Warrick,BOON 03,Court of Appeals Dist 4-Pyle III,,,Yes,375,9,163,203,
Warrick,BOON 03,Court of Appeals Dist 4-Pyle III,,,No,176,9,90,77,
Warrick,BOON 05,Registered Voters,,,,833,,,,
Warrick,BOON 05,Ballots Cast,,,,619,33,336,250,
Warrick,BOON 05,Public Question-Const Amendment,,,Yes,262,11,147,104,
Warrick,BOON 05,Public Question-Const Amendment,,,No,266,7,144,115,
Warrick,BOON 05,President,,REP,Donald J. Trump,405,13,227,165,
Warrick,BOON 05,President,,DEM,Kamala D. Harris,183,20,98,65,
Warrick,BOON 05,President,,LIB,Chase Oliver,2,0,0,2,
Warrick,BOON 05,President,,WTP,Robert F. Kennedy Jr.,4,0,0,4,
Warrick,BOON 05,President,,,Write-In,1,0,1,0,
Warrick,BOON 05,U.S. Senate,,REP,Jim Banks,378,11,206,161,
Warrick,BOON 05,U.S. Senate,,DEM,Valerie McCray,173,18,90,64,
Warrick,BOON 05,U.S. Senate,,LIB,Andrew Horning,7,0,5,2,
Warrick,BOON 05,Governor,,REP,Mike Braun,364,13,204,147,
Warrick,BOON 05,Governor,,DEM,Jennifer G. McCormick,200,17,102,81,
Warrick,BOON 05,Governor,,LIB,Donald Rainwater II,19,0,14,5,
Warrick,BOON 05,Governor,,,Write-In,0,0,0,0,
Warrick,BOON 05,Attorney General,,REP,Todd Rokita,401,13,221,167,
Warrick,BOON 05,Attorney General,,DEM,Destiny Wells,183,15,98,70,
Warrick,BOON 05,U.S. House,8,REP,Mark Messmer,410,14,227,169,
Warrick,BOON 05,U.S. House,8,DEM,Erik Hurt,167,15,87,65,
Warrick,BOON 05,U.S. House,8,LIB,S. Richard Fitzlaff,13,0,7,6,
Warrick,BOON 05,State Senate,50,REP,Vaneta Becker,464,23,256,188,
Warrick,BOON 05,State Senate,50,IND,John Woodard,66,1,34,31,
Warrick,BOON 05,State House,75,REP,Stephen Ledbetter,461,13,253,193,
Warrick,BOON 05,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,450,13,248,189,
Warrick,BOON 05,Judge Superior Court No. 2,,REP,Brett Michael Roy,479,15,264,200,
Warrick,BOON 05,Clerk Of The Circuit Court,,REP,Mike Wilson,460,13,253,194,
Warrick,BOON 05,County Recorder,,REP,Patricia (Patty) Perry,462,14,252,196,
Warrick,BOON 05,County Treasurer,,REP,Tabitha Heilman,459,14,252,193,
Warrick,BOON 05,County Coroner,,REP,Alissa (Salee) Enright,469,17,256,196,
Warrick,BOON 05,County Surveyor,,REP,Dennis Witzbacher,454,13,249,192,
Warrick,BOON 05,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,412,14,229,169,
Warrick,BOON 05,County Commissioner Dist 1,,DEM,John T. Mattingly,180,17,91,72,
Warrick,BOON 05,County Commissioner Dist 3,,REP,Stacey Franz,386,13,210,163,
Warrick,BOON 05,County Commissioner Dist 3,,DEM,Trent Curtis,201,17,108,76,
Warrick,BOON 05,County Council At-Large,,REP,Ron Bacon,359,16,201,142,
Warrick,BOON 05,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,359,18,172,115,
Warrick,BOON 05,County Council At-Large,,REP,Brad Overton,369,17,208,144,
Warrick,BOON 05,County Council At-Large,,DEM,Mason Barclay,216,16,109,91,
Warrick,BOON 05,Warrick County School Board,,NP,Lynda G. Glover,191,15,94,87,
Warrick,BOON 05,Warrick County School Board,,NP,Robert (Bobby) Howard,110,2,55,53,
Warrick,BOON 05,Warrick County School Board,,NP,Brenda K. Metzger,232,13,132,87,
Warrick,BOON 05,Warrick County School Board,,NP,Tim Mosbey,282,13,149,120,
Warrick,BOON 05,Warrick County School Board,,NP,James (Jim) Post,172,1,94,63,
Warrick,BOON 05,Warrick County School Board,,NP,Andrew E. Skinner,213,17,100,82,
Warrick,BOON 05,IN Supreme Court-Rush,,,Yes,355,15,181,159,
Warrick,BOON 05,IN Supreme Court-Rush,,,No,115,6,69,40,
Warrick,BOON 05,IN Supreme Court-Massa,,,Yes,346,13,180,153,
Warrick,BOON 05,IN Supreme Court-Massa,,,No,120,8,69,43,
Warrick,BOON 05,IN Supreme Court-Molter,,,Yes,348,12,181,155,
Warrick,BOON 05,IN Supreme Court-Molter,,,No,118,9,67,42,
Warrick,BOON 05,Court of Appeals Dist 1-Foley,,,Yes,341,13,180,148,
Warrick,BOON 05,Court of Appeals Dist 1-Foley,,,No,113,6,62,43,
Warrick,BOON 05,Court of Appeals Dist 4-Pyle III,,,Yes,344,14,181,149,
Warrick,BOON 05,Court of Appeals Dist 4-Pyle III,,,No,113,8,63,42,
Warrick,BOON 06,Registered Voters,,,,1127,,,,
Warrick,BOON 06,Ballots Cast,,,,653,31,330,292,
Warrick,BOON 06,Public Question-Const Amendment,,,Yes,292,11,134,147,
Warrick,BOON 06,Public Question-Const Amendment,,,No,265,9,146,110,
Warrick,BOON 06,President,,REP,Donald J. Trump,394,18,190,193,
Warrick,BOON 06,President,,DEM,Kamala D. Harris,243,11,130,95,
Warrick,BOON 06,President,,LIB,Chase Oliver,2,0,1,1,
Warrick,BOON 06,President,,WTP,Robert F. Kennedy Jr.,5,1,4,0,
Warrick,BOON 06,President,,,Write-In,1,0,1,0,
Warrick,BOON 06,U.S. Senate,,REP,Jim Banks,353,18,178,165,
Warrick,BOON 06,U.S. Senate,,DEM,Valerie McCray,231,11,125,90,
Warrick,BOON 06,U.S. Senate,,LIB,Andrew Horning,23,1,2,19,
Warrick,BOON 06,Governor,,REP,Mike Braun,360,11,183,166,
Warrick,BOON 06,Governor,,DEM,Jennifer G. McCormick,244,17,130,91,
Warrick,BOON 06,Governor,,LIB,Donald Rainwater II,17,0,5,12,
Warrick,BOON 06,Governor,,,Write-In,0,0,0,0,
Warrick,BOON 06,Attorney General,,REP,Todd Rokita,384,11,191,182,
Warrick,BOON 06,Attorney General,,DEM,Destiny Wells,246,17,129,100,
Warrick,BOON 06,U.S. House,8,REP,Mark Messmer,379,9,189,181,
Warrick,BOON 06,U.S. House,8,DEM,Erik Hurt,230,17,123,90,
Warrick,BOON 06,U.S. House,8,LIB,S. Richard Fitzlaff,18,1,1,16,
Warrick,BOON 06,U.S. House,8,,,Write-In,1,0,1,0
Warrick,BOON 06,State Senate,50,REP,Vaneta Becker,409,15,210,183,
Warrick,BOON 06,State Senate,50,IND,John Woodard,124,8,50,66,
Warrick,BOON 06,State House,75,REP,Stephen Ledbetter,459,17,221,221,
Warrick,BOON 06,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,458,15,223,220,
Warrick,BOON 06,Judge Superior Court No. 2,,REP,Brett Michael Roy,477,18,230,229,
Warrick,BOON 06,Clerk Of The Circuit Court,,REP,Mike Wilson,476,17,224,235,
Warrick,BOON 06,County Recorder,,REP,Patricia (Patty) Perry,468,15,227,225,
Warrick,BOON 06,County Treasurer,,REP,Tabitha Heilman,469,16,231,222,
Warrick,BOON 06,County Coroner,,REP,Alissa (Salee) Enright,480,19,237,224,
Warrick,BOON 06,County Surveyor,,REP,Dennis Witzbacher,465,18,228,219,
Warrick,BOON 06,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,394,15,197,184,
Warrick,BOON 06,County Commissioner Dist 1,,DEM,John T. Mattingly,228,15,122,91,
Warrick,BOON 06,County Commissioner Dist 3,,REP,Stacey Franz,374,12,190,172,
Warrick,BOON 06,County Commissioner Dist 3,,DEM,Trent Curtis,249,14,129,106,
Warrick,BOON 06,County Council At-Large,,REP,Ron Bacon,345,14,159,172,
Warrick,BOON 06,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,327,19,146,138,
Warrick,BOON 06,County Council At-Large,,REP,Brad Overton,314,14,150,150,
Warrick,BOON 06,County Council At-Large,,DEM,Mason Barclay,257,17,133,107,
Warrick,BOON 06,Warrick County School Board,,NP,Lynda G. Glover,200,12,90,97,
Warrick,BOON 06,Warrick County School Board,,NP,Robert (Bobby) Howard,156,7,72,77,
Warrick,BOON 06,Warrick County School Board,,NP,Brenda K. Metzger,231,16,114,101,
Warrick,BOON 06,Warrick County School Board,,NP,Tim Mosbey,288,14,138,134,
Warrick,BOON 06,Warrick County School Board,,NP,James (Jim) Post,163,5,79,78,
Warrick,BOON 06,Warrick County School Board,,NP,Andrew E. Skinner,167,7,77,83,
Warrick,BOON 06,IN Supreme Court-Rush,,,Yes,352,15,169,168,
Warrick,BOON 06,IN Supreme Court-Rush,,,No,146,10,72,64,
Warrick,BOON 06,IN Supreme Court-Massa,,,Yes,353,14,165,174,
Warrick,BOON 06,IN Supreme Court-Massa,,,No,140,9,71,60,
Warrick,BOON 06,IN Supreme Court-Molter,,,Yes,352,14,164,174,
Warrick,BOON 06,IN Supreme Court-Molter,,,No,144,10,72,62,
Warrick,BOON 06,Court of Appeals Dist 1-Foley,,,Yes,344,12,153,179,
Warrick,BOON 06,Court of Appeals Dist 1-Foley,,,No,144,10,78,56,
Warrick,BOON 06,Court of Appeals Dist 4-Pyle III,,,Yes,345,11,158,176,
Warrick,BOON 06,Court of Appeals Dist 4-Pyle III,,,No,143,11,72,60,
Warrick,BOON 07,Registered Voters,,,,714,,,,
Warrick,BOON 07,Ballots Cast,,,,451,23,238,190,
Warrick,BOON 07,Public Question-Const Amendment,,,Yes,196,5,108,83,
Warrick,BOON 07,Public Question-Const Amendment,,,No,187,10,103,74,
Warrick,BOON 07,President,,REP,Donald J. Trump,285,12,154,122,
Warrick,BOON 07,President,,DEM,Kamala D. Harris,144,8,77,60,
Warrick,BOON 07,President,,LIB,Chase Oliver,2,0,2,0,
Warrick,BOON 07,President,,WTP,Robert F. Kennedy Jr.,12,3,0,9,
Warrick,BOON 07,President,,,Write-In,1,0,0,1,
Warrick,BOON 07,U.S. Senate,,REP,Jim Banks,264,10,145,109,
Warrick,BOON 07,U.S. Senate,,DEM,Valerie McCray,141,11,72,56,
Warrick,BOON 07,U.S. Senate,,LIB,Andrew Horning,12,1,6,5,
Warrick,BOON 07,Governor,,REP,Mike Braun,254,12,140,105,
Warrick,BOON 07,Governor,,DEM,Jennifer G. McCormick,154,14,82,58,
Warrick,BOON 07,Governor,,LIB,Donald Rainwater II,17,0,7,10,
Warrick,BOON 07,Attorney General,,REP,Todd Rokita,271,10,149,112,
Warrick,BOON 07,Attorney General,,DEM,Destiny Wells,150,12,78,60,
Warrick,BOON 07,U.S. House,8,REP,Mark Messmer,275,11,152,112,
Warrick,BOON 07,U.S. House,8,DEM,Erik Hurt,127,10,67,50,
Warrick,BOON 07,U.S. House,8,LIB,S. Richard Fitzlaff,17,1,7,9,
Warrick,BOON 07,State Senate,50,REP,Vaneta Becker,303,13,162,128,
Warrick,BOON 07,State Senate,50,IND,John Woodard,68,4,39,25,
Warrick,BOON 07,State House,75,REP,Stephen Ledbetter,323,15,172,136,
Warrick,BOON 07,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,323,14,171,138,
Warrick,BOON 07,Judge Superior Court No. 2,,REP,Brett Michael Roy,335,15,172,148,
Warrick,BOON 07,Clerk Of The Circuit Court,,REP,Mike Wilson,330,15,175,143,
Warrick,BOON 07,County Recorder,,REP,Patricia (Patty) Perry,327,15,172,141,
Warrick,BOON 07,County Treasurer,,REP,Tabitha Heilman,320,13,172,135,
Warrick,BOON 07,County Coroner,,REP,Alissa (Salee) Enright,334,15,178,141,
Warrick,BOON 07,County Surveyor,,REP,Dennis Witzbacher,320,14,168,138,
Warrick,BOON 07,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,280,15,150,117,
Warrick,BOON 07,County Commissioner Dist 1,,DEM,John T. Mattingly,142,9,75,58,
Warrick,BOON 07,County Commissioner Dist 3,,REP,Stacey Franz,257,12,131,114,
Warrick,BOON 07,County Commissioner Dist 3,,DEM,Trent Curtis,168,10,94,64,
Warrick,BOON 07,County Council At-Large,,REP,Ron Bacon,235,12,135,88,
Warrick,BOON 07,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,209,10,117,82,
Warrick,BOON 07,County Council At-Large,,REP,Brad Overton,244,12,133,110,
Warrick,BOON 07,County Council At-Large,,DEM,Mason Barclay,189,11,97,81,
Warrick,BOON 07,Warrick County School Board,,NP,Lynda G. Glover,140,13,76,50,
Warrick,BOON 07,Warrick County School Board,,NP,Robert (Bobby) Howard,113,4,55,54,
Warrick,BOON 07,Warrick County School Board,,NP,Brenda K. Metzger,192,10,102,79,
Warrick,BOON 07,Warrick County School Board,,NP,Tim Mosbey,231,15,125,96,
Warrick,BOON 07,Warrick County School Board,,NP,James (Jim) Post,102,4,58,42,
Warrick,BOON 07,Warrick County School Board,,NP,Andrew E. Skinner,132,4,74,54,
Warrick,BOON 07,IN Supreme Court-Rush,,,Yes,238,13,123,102,
Warrick,BOON 07,IN Supreme Court-Rush,,,No,91,3,54,34,
Warrick,BOON 07,IN Supreme Court-Massa,,,Yes,231,13,118,100,
Warrick,BOON 07,IN Supreme Court-Massa,,,No,92,2,54,36,
Warrick,BOON 07,IN Supreme Court-Molter,,,Yes,229,13,118,98,
Warrick,BOON 07,IN Supreme Court-Molter,,,No,87,2,51,34,
Warrick,BOON 07,Court of Appeals Dist 1-Foley,,,Yes,231,12,119,100,
Warrick,BOON 07,Court of Appeals Dist 1-Foley,,,No,87,3,50,34,
Warrick,BOON 07,Court of Appeals Dist 4-Pyle III,,,Yes,227,11,119,97,
Warrick,BOON 07,Court of Appeals Dist 4-Pyle III,,,No,90,4,49,37,
Warrick,BOON 08,Registered Voters,,,,592,,,,
Warrick,BOON 08,Ballots Cast,,,,441,17,206,218,
Warrick,BOON 08,Public Question-Const Amendment,,,Yes,211,7,94,110,
Warrick,BOON 08,Public Question-Const Amendment,,,No,174,7,84,83,
Warrick,BOON 08,President,,REP,Donald J. Trump,301,11,140,155,
Warrick,BOON 08,President,,DEM,Kamala D. Harris,135,5,65,59,
Warrick,BOON 08,President,,LIB,Chase Oliver,2,0,1,1,
Warrick,BOON 08,President,,WTP,Robert F. Kennedy Jr.,1,0,0,1,
Warrick,BOON 08,President,,,Write-In,1,0,1,0,
Warrick,BOON 08,U.S. Senate,,REP,Jim Banks,286,10,131,149,
Warrick,BOON 08,U.S. Senate,,DEM,Valerie McCray,125,6,64,51,
Warrick,BOON 08,U.S. Senate,,LIB,Andrew Horning,2,0,2,0,
Warrick,BOON 08,Governor,,REP,Mike Braun,279,9,124,147,
Warrick,BOON 08,Governor,,DEM,Jennifer G. McCormick,133,5,70,54,
Warrick,BOON 08,Governor,,LIB,Donald Rainwater II,12,0,6,6,
Warrick,BOON 08,Attorney General,,REP,Todd Rokita,291,10,131,154,
Warrick,BOON 08,Attorney General,,DEM,Destiny Wells,123,6,62,51,
Warrick,BOON 08,U.S. House,8,REP,Mark Messmer,301,7,132,162,
Warrick,BOON 08,U.S. House,8,DEM,Erik Hurt,110,8,61,40,
Warrick,BOON 08,U.S. House,8,LIB,S. Richard Fitzlaff,6,0,2,4,
Warrick,BOON 08,State Senate,50,REP,Vaneta Becker,314,11,142,161,
Warrick,BOON 08,State Senate,50,IND,John Woodard,60,1,29,30,
Warrick,BOON 08,State House,75,REP,Stephen Ledbetter,337,10,148,179,
Warrick,BOON 08,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,331,9,152,170,
Warrick,BOON 08,Judge Superior Court No. 2,,REP,Brett Michael Roy,348,10,153,185,
Warrick,BOON 08,Clerk Of The Circuit Court,,REP,Mike Wilson,335,9,150,176,
Warrick,BOON 08,County Recorder,,REP,Patricia (Patty) Perry,336,10,149,177,
Warrick,BOON 08,County Treasurer,,REP,Tabitha Heilman,345,9,154,182,
Warrick,BOON 08,County Coroner,,REP,Alissa (Salee) Enright,342,9,150,183,
Warrick,BOON 08,County Surveyor,,REP,Dennis Witzbacher,333,9,150,174,
Warrick,BOON 08,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,308,9,134,166,
Warrick,BOON 08,County Commissioner Dist 1,,DEM,John T. Mattingly,119,9,65,45,
Warrick,BOON 08,County Commissioner Dist 3,,REP,Stacey Franz,291,10,127,157,
Warrick,BOON 08,County Commissioner Dist 3,,DEM,Trent Curtis,134,10,71,53,
Warrick,BOON 08,County Council At-Large,,REP,Ron Bacon,255,8,112,135,
Warrick,BOON 08,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,239,8,108,119,
Warrick,BOON 08,County Council At-Large,,REP,Brad Overton,298,11,139,148,
Warrick,BOON 08,County Council At-Large,,DEM,Mason Barclay,141,8,68,65,
Warrick,BOON 08,Warrick County School Board,,NP,Lynda G. Glover,132,5,65,63,
Warrick,BOON 08,Warrick County School Board,,NP,Robert (Bobby) Howard,102,3,44,55,
Warrick,BOON 08,Warrick County School Board,,NP,Brenda K. Metzger,192,11,79,102,
Warrick,BOON 08,Warrick County School Board,,NP,Tim Mosbey,207,8,93,106,
Warrick,BOON 08,Warrick County School Board,,NP,James (Jim) Post,107,5,55,50,
Warrick,BOON 08,Warrick County School Board,,NP,Andrew E. Skinner,127,4,66,57,
Warrick,BOON 08,IN Supreme Court-Rush,,,Yes,231,6,106,119,
Warrick,BOON 08,IN Supreme Court-Rush,,,No,87,6,47,34,
Warrick,BOON 08,IN Supreme Court-Massa,,,Yes,216,6,105,105,
Warrick,BOON 08,IN Supreme Court-Massa,,,No,94,7,47,40,
Warrick,BOON 08,IN Supreme Court-Molter,,,Yes,219,7,101,112,
Warrick,BOON 08,IN Supreme Court-Molter,,,No,97,5,49,41,
Warrick,BOON 08,Court of Appeals Dist 1-Foley,,,Yes,224,5,104,115,
Warrick,BOON 08,Court of Appeals Dist 1-Foley,,,No,89,6,47,36,
Warrick,BOON 08,Court of Appeals Dist 4-Pyle III,,,Yes,228,5,107,116,
Warrick,BOON 08,Court of Appeals Dist 4-Pyle III,,,No,85,6,43,36,
Warrick,BOON 09,Registered Voters,,,,919,,,,
Warrick,BOON 09,Ballots Cast,,,,672,25,327,320,
Warrick,BOON 09,Public Question-Const Amendment,,,Yes,296,15,143,151,
Warrick,BOON 09,Public Question-Const Amendment,,,No,284,2,136,133,
Warrick,BOON 09,President,,REP,Donald J. Trump,476,13,238,225,
Warrick,BOON 09,President,,DEM,Kamala D. Harris,180,12,84,84,
Warrick,BOON 09,President,,LIB,Chase Oliver,3,0,2,1,
Warrick,BOON 09,President,,WTP,Robert F. Kennedy Jr.,4,0,1,3,
Warrick,BOON 09,President,,,Write-In,1,0,1,0,
Warrick,BOON 09,U.S. Senate,,REP,Jim Banks,449,15,223,216,
Warrick,BOON 09,U.S. Senate,,DEM,Valerie McCray,165,12,82,71,
Warrick,BOON 09,U.S. Senate,,LIB,Andrew Horning,14,0,4,10,
Warrick,BOON 09,Governor,,REP,Mike Braun,440,12,225,203,
Warrick,BOON 09,Governor,,DEM,Jennifer G. McCormick,184,13,85,86,
Warrick,BOON 09,Governor,,LIB,Donald Rainwater II,21,0,4,17,
Warrick,BOON 09,Attorney General,,REP,Todd Rokita,463,10,230,223,
Warrick,BOON 09,Attorney General,,DEM,Destiny Wells,179,13,86,80,
