candidate,office,district,party,county,precinct,early_voting,election_day,votes
Jeannine Lee Lake,U.S. House,6,,Wayne,ABGT,38,31,69
Tom Ferkinhogg,U.S. House,6,,Wayne,ABGT,4,6,10
Heather Leigh Meloy,U.S. House,6,W,Wayne,ABGT,0,0,0
John Miller,U.S. House,6,W,Wayne,ABGT,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,ABGT,117,121,238
Jerome (Jake) Hoog,State Senate ,27,,Wayne,ABGT,37,22,59
Bradford J Barrett,State Representative,56,,Wayne,ABGT,119,112,231
Jeffrey S Locke,State Representative,56,,Wayne,ABGT,33,27,60
Jeremy Why,State Representative,56,,Wayne,ABGT,2,3,5
,Ballots Cast,,,Wayne,BOST,,,382
,Straight Party,,R,Wayne,BOST,102,77,179
,Straight Party,,D,Wayne,BOST,26,12,38
,Straight Party,,L,Wayne,BOST,0,2,2
Mike Braun,U.S. Senate,,,Wayne,BOST,158,112,270
Joe Donnelly,U.S. Senate,,,Wayne,BOST,64,30,94
Lucy M Brenton,U.S. Senate,,,Wayne,BOST,5,10,15
Nathan Altman,U.S. Senate,,W,Wayne,BOST,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,BOST,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,BOST,0,0,0
Connie Lawson,Secretary of State,,,Wayne,BOST,171,111,282
Jim Harper,Secretary of State,,,Wayne,BOST,49,28,77
Mark W. Rutherford,Secretary of State,,,Wayne,BOST,6,10,16
George William Wolfe,Secretary of State,,W,Wayne,BOST,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,BOST,0,0,0
Tera Klutz,Auditor of State,,,Wayne,BOST,171,110,281
Joselyn Whitticker,Auditor of State,,,Wayne,BOST,47,23,70
John Schick,Auditor of State,,,Wayne,BOST,7,14,21
Kelly Mitchell,Treasurer of State,,,Wayne,BOST,179,119,298
John C. Aguilera,Treasurer of State,,,Wayne,BOST,46,28,74
Greg Pence,U.S. House,6,,Wayne,BOST,166,114,280
Jeannine Lee Lake,U.S. House,6,,Wayne,BOST,53,31,84
Tom Ferkinhogg,U.S. House,6,,Wayne,BOST,7,6,13
Heather Leigh Meloy,U.S. House,6,W,Wayne,BOST,0,0,0
John Miller,U.S. House,6,W,Wayne,BOST,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,BOST,177,118,295
Jerome (Jake) Hoog,State Senate ,27,,Wayne,BOST,49,29,78
Bradford J Barrett,State Representative,56,,Wayne,BOST,182,117,299
Jeffrey S Locke,State Representative,56,,Wayne,BOST,45,30,75
Jeremy Why,State Representative,56,,Wayne,BOST,1,5,6
,Ballots Cast,,,Wayne,CTR1,,,598
,Straight Party,,R,Wayne,CTR1,89,143,232
,Straight Party,,D,Wayne,CTR1,44,31,75
,Straight Party,,L,Wayne,CTR1,3,2,5
Mike Braun,U.S. Senate,,,Wayne,CTR1,165,219,384
Joe Donnelly,U.S. Senate,,,Wayne,CTR1,99,78,177
Lucy M Brenton,U.S. Senate,,,Wayne,CTR1,15,15,30
Nathan Altman,U.S. Senate,,W,Wayne,CTR1,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CTR1,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CTR1,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CTR1,187,247,434
Jim Harper,Secretary of State,,,Wayne,CTR1,77,55,132
Mark W. Rutherford,Secretary of State,,,Wayne,CTR1,11,9,20
George William Wolfe,Secretary of State,,W,Wayne,CTR1,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,CTR1,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CTR1,186,242,428
Joselyn Whitticker,Auditor of State,,,Wayne,CTR1,76,58,134
John Schick,Auditor of State,,,Wayne,CTR1,12,10,22
Kelly Mitchell,Treasurer of State,,,Wayne,CTR1,194,250,444
John C. Aguilera,Treasurer of State,,,Wayne,CTR1,81,58,139
Greg Pence,U.S. House,6,,Wayne,CTR1,181,231,412
Jeannine Lee Lake,U.S. House,6,,Wayne,CTR1,85,64,149
Tom Ferkinhogg,U.S. House,6,,Wayne,CTR1,13,19,32
Heather Leigh Meloy,U.S. House,6,W,Wayne,CTR1,0,0,0
John Miller,U.S. House,6,W,Wayne,CTR1,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CTR1,197,256,453
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CTR1,82,57,139
Bradford J Barrett,State Representative,56,,Wayne,CTR1,198,250,448
Jeffrey S Locke,State Representative,56,,Wayne,CTR1,73,58,131
Jeremy Why,State Representative,56,,Wayne,CTR1,8,7,15
,Ballots Cast,,,Wayne,CTR2,,,345
,Straight Party,,R,Wayne,CTR2,47,87,134
,Straight Party,,D,Wayne,CTR2,12,42,54
,Straight Party,,L,Wayne,CTR2,0,1,1
Mike Braun,U.S. Senate,,,Wayne,CTR2,80,139,219
Joe Donnelly,U.S. Senate,,,Wayne,CTR2,29,71,100
Lucy M Brenton,U.S. Senate,,,Wayne,CTR2,7,11,18
Nathan Altman,U.S. Senate,,W,Wayne,CTR2,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CTR2,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CTR2,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CTR2,85,156,241
Jim Harper,Secretary of State,,,Wayne,CTR2,28,57,85
Mark W. Rutherford,Secretary of State,,,Wayne,CTR2,6,7,13
George William Wolfe,Secretary of State,,W,Wayne,CTR2,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,CTR2,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CTR2,85,155,240
Joselyn Whitticker,Auditor of State,,,Wayne,CTR2,28,56,84
John Schick,Auditor of State,,,Wayne,CTR2,6,7,13
Kelly Mitchell,Treasurer of State,,,Wayne,CTR2,87,159,246
John C. Aguilera,Treasurer of State,,,Wayne,CTR2,30,61,91
Greg Pence,U.S. House,6,,Wayne,CTR2,82,150,232
Jeannine Lee Lake,U.S. House,6,,Wayne,CTR2,27,62,89
Tom Ferkinhogg,U.S. House,6,,Wayne,CTR2,9,10,19
Heather Leigh Meloy,U.S. House,6,W,Wayne,CTR2,0,0,0
John Miller,U.S. House,6,W,Wayne,CTR2,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CTR2,84,159,243
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CTR2,33,62,95
Bradford J Barrett,State Representative,56,,Wayne,CTR2,84,159,243
Jeffrey S Locke,State Representative,56,,Wayne,CTR2,31,57,88
Jeremy Why,State Representative,56,,Wayne,CTR2,3,6,9
,Ballots Cast,,,Wayne,CTR3,,,347
,Straight Party,,R,Wayne,CTR3,63,64,127
,Straight Party,,D,Wayne,CTR3,37,27,64
,Straight Party,,L,Wayne,CTR3,0,1,1
Mike Braun,U.S. Senate,,,Wayne,CTR3,97,104,201
Joe Donnelly,U.S. Senate,,,Wayne,CTR3,74,54,128
Lucy M Brenton,U.S. Senate,,,Wayne,CTR3,7,7,14
Nathan Altman,U.S. Senate,,W,Wayne,CTR3,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CTR3,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CTR3,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CTR3,108,106,214
Jim Harper,Secretary of State,,,Wayne,CTR3,64,48,112
Mark W. Rutherford,Secretary of State,,,Wayne,CTR3,6,9,15
George William Wolfe,Secretary of State,,W,Wayne,CTR3,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,CTR3,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CTR3,109,105,214
Joselyn Whitticker,Auditor of State,,,Wayne,CTR3,66,50,116
John Schick,Auditor of State,,,Wayne,CTR3,4,8,12
Kelly Mitchell,Treasurer of State,,,Wayne,CTR3,111,113,224
John C. Aguilera,Treasurer of State,,,Wayne,CTR3,65,48,113
Greg Pence,U.S. House,6,,Wayne,CTR3,107,110,217
Jeannine Lee Lake,U.S. House,6,,Wayne,CTR3,69,48,117
Tom Ferkinhogg,U.S. House,6,,Wayne,CTR3,4,7,11
Heather Leigh Meloy,U.S. House,6,W,Wayne,CTR3,0,0,0
John Miller,U.S. House,6,W,Wayne,CTR3,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CTR3,112,118,230
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CTR3,66,45,111
Bradford J Barrett,State Representative,56,,Wayne,CTR3,121,113,234
Jeffrey S Locke,State Representative,56,,Wayne,CTR3,56,46,102
Jeremy Why,State Representative,56,,Wayne,CTR3,3,4,7
,Ballots Cast,,,Wayne,CTR4,,,513
,Straight Party,,R,Wayne,CTR4,126,66,192
,Straight Party,,D,Wayne,CTR4,41,26,67
,Straight Party,,L,Wayne,CTR4,2,0,2
Mike Braun,U.S. Senate,,,Wayne,CTR4,208,111,319
Joe Donnelly,U.S. Senate,,,Wayne,CTR4,100,59,159
Lucy M Brenton,U.S. Senate,,,Wayne,CTR4,9,16,25
Nathan Altman,U.S. Senate,,W,Wayne,CTR4,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CTR4,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CTR4,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CTR4,220,127,347
Jim Harper,Secretary of State,,,Wayne,CTR4,85,47,132
Mark W. Rutherford,Secretary of State,,,Wayne,CTR4,9,11,20
George William Wolfe,Secretary of State,,W,Wayne,CTR4,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,CTR4,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CTR4,222,128,350
Joselyn Whitticker,Auditor of State,,,Wayne,CTR4,83,45,128
John Schick,Auditor of State,,,Wayne,CTR4,7,13,20
Kelly Mitchell,Treasurer of State,,,Wayne,CTR4,225,138,363
John C. Aguilera,Treasurer of State,,,Wayne,CTR4,85,46,131
Greg Pence,U.S. House,6,,Wayne,CTR4,213,125,338
Jeannine Lee Lake,U.S. House,6,,Wayne,CTR4,86,49,135
Tom Ferkinhogg,U.S. House,6,,Wayne,CTR4,18,12,30
Heather Leigh Meloy,U.S. House,6,W,Wayne,CTR4,0,0,0
John Miller,U.S. House,6,W,Wayne,CTR4,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CTR4,236,142,378
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CTR4,83,46,129
Bradford J Barrett,State Representative,56,,Wayne,CTR4,235,132,367
Jeffrey S Locke,State Representative,56,,Wayne,CTR4,82,48,130
Jeremy Why,State Representative,56,,Wayne,CTR4,4,8,12
,Ballots Cast,,,Wayne,CTR5,,,670
,Straight Party,,R,Wayne,CTR5,154,129,283
,Straight Party,,D,Wayne,CTR5,52,37,89
,Straight Party,,L,Wayne,CTR5,4,7,11
Mike Braun,U.S. Senate,,,Wayne,CTR5,231,203,434
Joe Donnelly,U.S. Senate,,,Wayne,CTR5,114,85,199
Lucy M Brenton,U.S. Senate,,,Wayne,CTR5,13,16,29
Nathan Altman,U.S. Senate,,W,Wayne,CTR5,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CTR5,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CTR5,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CTR5,238,211,449
Jim Harper,Secretary of State,,,Wayne,CTR5,101,74,175
Mark W. Rutherford,Secretary of State,,,Wayne,CTR5,16,16,32
George William Wolfe,Secretary of State,,W,Wayne,CTR5,0,1,1
Jeremy Heath,Secretary of State,,W,Wayne,CTR5,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CTR5,243,208,451
Joselyn Whitticker,Auditor of State,,,Wayne,CTR5,95,73,168
John Schick,Auditor of State,,,Wayne,CTR5,16,20,36
Kelly Mitchell,Treasurer of State,,,Wayne,CTR5,250,230,480
John C. Aguilera,Treasurer of State,,,Wayne,CTR5,99,69,168
Greg Pence,U.S. House,6,,Wayne,CTR5,237,207,444
Jeannine Lee Lake,U.S. House,6,,Wayne,CTR5,104,80,184
Tom Ferkinhogg,U.S. House,6,,Wayne,CTR5,14,17,31
Heather Leigh Meloy,U.S. House,6,W,Wayne,CTR5,0,0,0
John Miller,U.S. House,6,W,Wayne,CTR5,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CTR5,254,226,480
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CTR5,101,74,175
Bradford J Barrett,State Representative,56,,Wayne,CTR5,259,218,477
Jeffrey S Locke,State Representative,56,,Wayne,CTR5,86,71,157
Jeremy Why,State Representative,56,,Wayne,CTR5,9,14,23
,Ballots Cast,,,Wayne,CTR6,,,11
,Straight Party,,R,Wayne,CTR6,3,2,5
,Straight Party,,D,Wayne,CTR6,1,1,2
,Straight Party,,L,Wayne,CTR6,0,0,0
Mike Braun,U.S. Senate,,,Wayne,CTR6,6,3,9
Joe Donnelly,U.S. Senate,,,Wayne,CTR6,1,1,2
Lucy M Brenton,U.S. Senate,,,Wayne,CTR6,0,0,0
Nathan Altman,U.S. Senate,,W,Wayne,CTR6,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CTR6,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CTR6,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CTR6,6,3,9
Jim Harper,Secretary of State,,,Wayne,CTR6,1,1,2
Mark W. Rutherford,Secretary of State,,,Wayne,CTR6,0,0,0
George William Wolfe,Secretary of State,,W,Wayne,CTR6,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,CTR6,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CTR6,6,2,8
Joselyn Whitticker,Auditor of State,,,Wayne,CTR6,1,2,3
John Schick,Auditor of State,,,Wayne,CTR6,0,0,0
Kelly Mitchell,Treasurer of State,,,Wayne,CTR6,6,3,9
John C. Aguilera,Treasurer of State,,,Wayne,CTR6,1,1,2
Greg Pence,U.S. House,6,,Wayne,CTR6,5,2,7
Jeannine Lee Lake,U.S. House,6,,Wayne,CTR6,1,2,3
Tom Ferkinhogg,U.S. House,6,,Wayne,CTR6,1,0,1
Heather Leigh Meloy,U.S. House,6,W,Wayne,CTR6,0,0,0
John Miller,U.S. House,6,W,Wayne,CTR6,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CTR6,5,3,8
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CTR6,2,1,3
Bradford J Barrett,State Representative,56,,Wayne,CTR6,6,3,9
Jeffrey S Locke,State Representative,56,,Wayne,CTR6,1,1,2
Jeremy Why,State Representative,56,,Wayne,CTR6,0,0,0
,Ballots Cast,,,Wayne,CLAY,,,365
,Straight Party,,R,Wayne,CLAY,80,78,158
,Straight Party,,D,Wayne,CLAY,31,17,48
,Straight Party,,L,Wayne,CLAY,2,1,3
Mike Braun,U.S. Senate,,,Wayne,CLAY,125,115,240
Joe Donnelly,U.S. Senate,,,Wayne,CLAY,61,36,97
Lucy M Brenton,U.S. Senate,,,Wayne,CLAY,11,8,19
Nathan Altman,U.S. Senate,,W,Wayne,CLAY,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,CLAY,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,CLAY,0,0,0
Connie Lawson,Secretary of State,,,Wayne,CLAY,139,120,259
Jim Harper,Secretary of State,,,Wayne,CLAY,53,35,88
Mark W. Rutherford,Secretary of State,,,Wayne,CLAY,5,6,11
George William Wolfe,Secretary of State,,W,Wayne,CLAY,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,CLAY,0,0,0
Tera Klutz,Auditor of State,,,Wayne,CLAY,134,120,254
Joselyn Whitticker,Auditor of State,,,Wayne,CLAY,58,32,90
John Schick,Auditor of State,,,Wayne,CLAY,6,9,15
Kelly Mitchell,Treasurer of State,,,Wayne,CLAY,138,127,265
John C. Aguilera,Treasurer of State,,,Wayne,CLAY,57,33,90
Greg Pence,U.S. House,6,,Wayne,CLAY,134,117,251
Jeannine Lee Lake,U.S. House,6,,Wayne,CLAY,57,35,92
Tom Ferkinhogg,U.S. House,6,,Wayne,CLAY,4,9,13
Heather Leigh Meloy,U.S. House,6,W,Wayne,CLAY,0,0,0
John Miller,U.S. House,6,W,Wayne,CLAY,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,CLAY,141,124,265
Jerome (Jake) Hoog,State Senate ,27,,Wayne,CLAY,57,34,91
Bradford J Barrett,State Representative,56,,Wayne,CLAY,143,123,266
Jeffrey S Locke,State Representative,56,,Wayne,CLAY,53,31,84
Jeremy Why,State Representative,56,,Wayne,CLAY,4,7,11
,Ballots Cast,,,Wayne,DALT,,,263
,Straight Party,,R,Wayne,DALT,47,58,105
,Straight Party,,D,Wayne,DALT,12,14,26
,Straight Party,,L,Wayne,DALT,0,2,2
Mike Braun,U.S. Senate,,,Wayne,DALT,85,93,178
Joe Donnelly,U.S. Senate,,,Wayne,DALT,36,30,66
Lucy M Brenton,U.S. Senate,,,Wayne,DALT,5,9,14
Nathan Altman,U.S. Senate,,W,Wayne,DALT,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,DALT,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,DALT,0,0,0
Connie Lawson,Secretary of State,,,Wayne,DALT,90,98,188
Jim Harper,Secretary of State,,,Wayne,DALT,30,27,57
Mark W. Rutherford,Secretary of State,,,Wayne,DALT,5,6,11
George William Wolfe,Secretary of State,,W,Wayne,DALT,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,DALT,0,0,0
Tera Klutz,Auditor of State,,,Wayne,DALT,88,99,187
Joselyn Whitticker,Auditor of State,,,Wayne,DALT,32,24,56
John Schick,Auditor of State,,,Wayne,DALT,2,10,12
Kelly Mitchell,Treasurer of State,,,Wayne,DALT,90,106,196
John C. Aguilera,Treasurer of State,,,Wayne,DALT,31,27,58
Greg Pence,U.S. House,6,,Wayne,DALT,81,94,175
Jeannine Lee Lake,U.S. House,6,,Wayne,DALT,34,30,64
Tom Ferkinhogg,U.S. House,6,,Wayne,DALT,9,10,19
Heather Leigh Meloy,U.S. House,6,W,Wayne,DALT,0,0,0
John Miller,U.S. House,6,W,Wayne,DALT,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,DALT,91,104,195
Jerome (Jake) Hoog,State Senate ,27,,Wayne,DALT,33,30,63
Thomas E (Tom) Saunders,State Representative,54,,Wayne,DALT,101,114,215
,Ballots Cast,,,Wayne,FRANK,,,470
,Straight Party,,R,Wayne,FRANK,75,130,205
,Straight Party,,D,Wayne,FRANK,30,33,63
,Straight Party,,L,Wayne,FRANK,0,0,0
Mike Braun,U.S. Senate,,,Wayne,FRANK,121,205,326
Joe Donnelly,U.S. Senate,,,Wayne,FRANK,49,74,123
Lucy M Brenton,U.S. Senate,,,Wayne,FRANK,5,9,14
Nathan Altman,U.S. Senate,,W,Wayne,FRANK,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,FRANK,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,FRANK,0,0,0
Connie Lawson,Secretary of State,,,Wayne,FRANK,128,216,344
Jim Harper,Secretary of State,,,Wayne,FRANK,44,61,105
Mark W. Rutherford,Secretary of State,,,Wayne,FRANK,4,10,14
George William Wolfe,Secretary of State,,W,Wayne,FRANK,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,FRANK,0,0,0
Tera Klutz,Auditor of State,,,Wayne,FRANK,125,209,334
Joselyn Whitticker,Auditor of State,,,Wayne,FRANK,43,67,110
John Schick,Auditor of State,,,Wayne,FRANK,6,11,17
Kelly Mitchell,Treasurer of State,,,Wayne,FRANK,130,219,349
John C. Aguilera,Treasurer of State,,,Wayne,FRANK,44,64,108
Greg Pence,U.S. House,6,,Wayne,FRANK,118,197,315
Jeannine Lee Lake,U.S. House,6,,Wayne,FRANK,47,65,112
Tom Ferkinhogg,U.S. House,6,,Wayne,FRANK,15,25,40
Heather Leigh Meloy,U.S. House,6,W,Wayne,FRANK,0,0,0
John Miller,U.S. House,6,W,Wayne,FRANK,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,FRANK,130,228,358
Jerome (Jake) Hoog,State Senate ,27,,Wayne,FRANK,46,59,105
Bradford J Barrett,State Representative,56,,Wayne,FRANK,140,225,365
Jeffrey S Locke,State Representative,56,,Wayne,FRANK,38,58,96
Jeremy Why,State Representative,56,,Wayne,FRANK,1,6,7
,Ballots Cast,,,Wayne,GREEN,,,353
,Straight Party,,R,Wayne,GREEN,63,94,157
,Straight Party,,D,Wayne,GREEN,15,15,30
,Straight Party,,L,Wayne,GREEN,1,0,1
Mike Braun,U.S. Senate,,,Wayne,GREEN,104,147,251
Joe Donnelly,U.S. Senate,,,Wayne,GREEN,46,35,81
Lucy M Brenton,U.S. Senate,,,Wayne,GREEN,8,7,15
Nathan Altman,U.S. Senate,,W,Wayne,GREEN,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,GREEN,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,GREEN,0,0,0
Connie Lawson,Secretary of State,,,Wayne,GREEN,120,147,267
Jim Harper,Secretary of State,,,Wayne,GREEN,34,30,64
Mark W. Rutherford,Secretary of State,,,Wayne,GREEN,5,9,14
George William Wolfe,Secretary of State,,W,Wayne,GREEN,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,GREEN,0,0,0
Tera Klutz,Auditor of State,,,Wayne,GREEN,117,149,266
Joselyn Whitticker,Auditor of State,,,Wayne,GREEN,36,28,64
John Schick,Auditor of State,,,Wayne,GREEN,5,9,14
Kelly Mitchell,Treasurer of State,,,Wayne,GREEN,120,158,278
John C. Aguilera,Treasurer of State,,,Wayne,GREEN,38,28,66
Greg Pence,U.S. House,6,,Wayne,GREEN,102,144,246
Jeannine Lee Lake,U.S. House,6,,Wayne,GREEN,32,28,60
Tom Ferkinhogg,U.S. House,6,,Wayne,GREEN,24,18,42
Heather Leigh Meloy,U.S. House,6,W,Wayne,GREEN,0,0,0
John Miller,U.S. House,6,W,Wayne,GREEN,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,GREEN,114,154,268
Jerome (Jake) Hoog,State Senate ,27,,Wayne,GREEN,42,32,74
Bradford J Barrett,State Representative,56,,Wayne,GREEN,121,157,278
Jeffrey S Locke,State Representative,56,,Wayne,GREEN,34,28,62
Jeremy Why,State Representative,56,,Wayne,GREEN,3,3,6
,Ballots Cast,,,Wayne,HARR,,,139
,Straight Party,,R,Wayne,HARR,21,13,34
,Straight Party,,D,Wayne,HARR,3,10,13
,Straight Party,,L,Wayne,HARR,0,2,2
Mike Braun,U.S. Senate,,,Wayne,HARR,47,36,83
Joe Donnelly,U.S. Senate,,,Wayne,HARR,23,21,44
Lucy M Brenton,U.S. Senate,,,Wayne,HARR,1,8,9
Nathan Altman,U.S. Senate,,W,Wayne,HARR,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,HARR,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,HARR,0,0,0
Connie Lawson,Secretary of State,,,Wayne,HARR,51,41,92
Jim Harper,Secretary of State,,,Wayne,HARR,16,18,34
Mark W. Rutherford,Secretary of State,,,Wayne,HARR,4,6,10
George William Wolfe,Secretary of State,,W,Wayne,HARR,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,HARR,0,0,0
Tera Klutz,Auditor of State,,,Wayne,HARR,52,38,90
Joselyn Whitticker,Auditor of State,,,Wayne,HARR,19,16,35
John Schick,Auditor of State,,,Wayne,HARR,0,10,10
Kelly Mitchell,Treasurer of State,,,Wayne,HARR,52,44,96
John C. Aguilera,Treasurer of State,,,Wayne,HARR,19,19,38
Greg Pence,U.S. House,6,,Wayne,HARR,51,38,89
Jeannine Lee Lake,U.S. House,6,,Wayne,HARR,20,21,41
Tom Ferkinhogg,U.S. House,6,,Wayne,HARR,0,6,6
Heather Leigh Meloy,U.S. House,6,W,Wayne,HARR,0,0,0
John Miller,U.S. House,6,W,Wayne,HARR,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,HARR,51,45,96
Jerome (Jake) Hoog,State Senate ,27,,Wayne,HARR,19,18,37
Bradford J Barrett,State Representative,56,,Wayne,HARR,55,45,100
Jeffrey S Locke,State Representative,56,,Wayne,HARR,16,17,33
Jeremy Why,State Representative,56,,Wayne,HARR,0,3,3
,Ballots Cast,,,Wayne,JACK1,,,458
,Straight Party,,R,Wayne,JACK1,71,97,168
