candidate,office,district,party,county,precinct,registered_voters,machine_votes,absentee_votes,provisional_votes
No Candidate Filed,Anderson Twp Trustee,,R,Warrick,Anderson,851,0,0,0
Jill Barnett,Anderson Twp Trustee,,D,Warrick,Anderson,851,255,42,0
No Candidate Filed,Anderson Twp Advisory Board,,R,Warrick,Anderson,851,0,0,0
Mary Ruth Clark,Anderson Twp Advisory Board,,D,Warrick,Anderson,851,215,34,0
Sherry L. Snodgrass,Anderson Twp Advisory Board,,D,Warrick,Anderson,851,220,31,0
Jason Alan Wangler,Anderson Twp Advisory Board,,D,Warrick,Anderson,851,216,31,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Anderson,851,142,22,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Anderson,851,140,23,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Anderson,851,112,15,0
Tabitha Heilman,School Board Member,,NP,Warrick,Anderson,851,93,18,0
Elissa Jones,School Board Member,,NP,Warrick,Anderson,851,74,14,0
Rick Dean Madden,School Board Member,,NP,Warrick,Anderson,851,102,20,0
Candace S. Nance,School Board Member,,NP,Warrick,Anderson,851,113,21,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Anderson,851,82,15,0
Thomas L. Welch,School Board Member,,NP,Warrick,Anderson,851,116,18,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Anderson,851,165,27,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Anderson,851,208,32,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Anderson,851,117,22,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Anderson,851,216,29,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Anderson,851,114,25,0
Yes,Public Question,,,Warrick,Ohio 5,900,199,45,0
No,Public Question,,,Warrick,Ohio 5,900,84,18,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 5,900,162,36,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 5,900,165,39,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 5,900,14,2,0
Write-In,U.S. Senate,,,Warrick,Ohio 5,900,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 5,900,174,36,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 5,900,155,40,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 5,900,9,0,0
Write-In,Secretary of State,,,Warrick,Ohio 5,900,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 5,900,171,36,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 5,900,155,38,0
John Schick,Auditor of State,,L,Warrick,Ohio 5,900,10,1,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 5,900,179,36,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 5,900,157,39,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 5,900,176,38,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 5,900,163,39,0
Write-In,U.S. House,8,,Warrick,Ohio 5,900,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 5,900,181,36,0
John Hurley,State House,75,D,Warrick,Ohio 5,900,158,38,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 5,900,248,44,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 5,900,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 5,900,249,45,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 5,900,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 5,900,241,45,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 5,900,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 5,900,173,34,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 5,900,159,42,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 5,900,247,42,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 5,900,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 5,900,246,43,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 5,900,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 5,900,166,36,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 5,900,166,39,0
Greg Richmond,County Council,3,R,Warrick,Ohio 5,900,169,36,0
Jenni Ransom,County Council,3,D,Warrick,Ohio 5,900,164,38,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 5,900,182,36,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 5,900,153,38,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 5,900,165,29,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 5,900,152,31,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 5,900,151,29,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 5,900,130,35,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 5,900,137,34,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 5,900,142,36,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 5,900,89,19,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 5,900,94,25,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 5,900,139,22,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 5,900,96,17,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 5,900,76,15,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 5,900,76,16,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 5,900,109,22,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 5,900,77,18,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 5,900,87,18,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 5,900,156,29,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 5,900,208,44,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 5,900,79,15,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 5,900,212,44,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 5,900,72,16,0
Yes,Public Question,,,Warrick,Ohio 11,939,245,48,0
No,Public Question,,,Warrick,Ohio 11,939,80,16,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 11,939,206,43,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 11,939,161,32,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 11,939,10,0,0
Write-In,U.S. Senate,,,Warrick,Ohio 11,939,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 11,939,209,43,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 11,939,155,30,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 11,939,12,2,0
Write-In,Secretary of State,,,Warrick,Ohio 11,939,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 11,939,198,43,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 11,939,159,29,0
John Schick,Auditor of State,,L,Warrick,Ohio 11,939,13,2,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 11,939,215,43,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 11,939,155,31,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 11,939,215,43,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 11,939,160,32,0
Write-In,U.S. House,8,,Warrick,Ohio 11,939,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 11,939,216,44,0
John Hurley,State House,75,D,Warrick,Ohio 11,939,158,31,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 11,939,276,54,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 11,939,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 11,939,276,54,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 11,939,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 11,939,271,52,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 11,939,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 11,939,213,44,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 11,939,156,31,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 11,939,276,52,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 11,939,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 11,939,270,53,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 11,939,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 11,939,209,43,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 11,939,161,30,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 11,939,267,53,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 11,939,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 11,939,229,43,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 11,939,143,30,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 11,939,192,38,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 11,939,182,41,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 11,939,178,37,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 11,939,124,22,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 11,939,128,27,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 11,939,126,24,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 11,939,103,13,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 11,939,107,20,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 11,939,123,20,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 11,939,112,17,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 11,939,66,10,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 11,939,86,11,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 11,939,132,25,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 11,939,88,17,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 11,939,99,20,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 11,939,144,25,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 11,939,217,47,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 11,939,82,10,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 11,939,221,47,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 11,939,77,9,0
Yes,Public Question,,,Warrick,Skelton 2,732,147,37,0
No,Public Question,,,Warrick,Skelton 2,732,64,16,0
Mike Braun,U.S. Senate,,R,Warrick,Skelton 2,732,190,40,0
Joe Donnelly,U.S. Senate,,D,Warrick,Skelton 2,732,125,27,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Skelton 2,732,15,2,0
Write-In,U.S. Senate,,,Warrick,Skelton 2,732,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Skelton 2,732,200,43,0
Jim Harper,Secretary of State,,D,Warrick,Skelton 2,732,107,26,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Skelton 2,732,16,0,0
Write-In,Secretary of State,,,Warrick,Skelton 2,732,1,0,0
Tera Klutz,Auditor of State,,R,Warrick,Skelton 2,732,194,41,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Skelton 2,732,113,27,0
John Schick,Auditor of State,,L,Warrick,Skelton 2,732,14,0,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Skelton 2,732,222,43,0
John C. Aguilera,Treasurer of State,,D,Warrick,Skelton 2,732,102,26,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Skelton 2,732,214,44,0
William Tanoos,U.S. House,8,D,Warrick,Skelton 2,732,113,25,0
Write-In,U.S. House,8,,Warrick,Skelton 2,732,0,0,0
Mark Messmer,State Senate,48,R,Warrick,Skelton 2,732,258,49,0
No Candidate Filed,State Senate,48,D,Warrick,Skelton 2,732,0,0,0
Ron Bacon,State House,75,R,Warrick,Skelton 2,732,206,44,0
John Hurley,State House,75,D,Warrick,Skelton 2,732,120,27,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Skelton 2,732,262,53,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Skelton 2,732,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Skelton 2,732,257,48,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Skelton 2,732,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Skelton 2,732,260,49,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Skelton 2,732,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Skelton 2,732,201,41,0
Chelsea Ballis,County Auditor,,D,Warrick,Skelton 2,732,120,30,0
Michael Wilder,County Sheriff,,R,Warrick,Skelton 2,732,269,52,0
No Candidate Filed,County Sheriff,,D,Warrick,Skelton 2,732,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Skelton 2,732,261,52,0
No Candidate Filed,County Assessor,,D,Warrick,Skelton 2,732,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Skelton 2,732,197,44,0
Mark Warren,Co Commissioner,2,D,Warrick,Skelton 2,732,129,28,0
David P. Hachmeister,County Council,4,R,Warrick,Skelton 2,732,215,47,0
Nancy Ann Woolsey,County Council,4,D,Warrick,Skelton 2,732,107,24,0
No Candidate Filed,Skelton Twp Trustee,,R,Warrick,Skelton 2,732,0,0,0
Tim Seiler,Skelton Twp Trustee,,D,Warrick,Skelton 2,732,231,44,0
Tyler Heilman,Skelton Twp Advisory Board,,R,Warrick,Skelton 2,732,209,37,0
Jon Jenkins,Skelton Twp Advisory Board,,R,Warrick,Skelton 2,732,171,31,0
Donna Mccutchan,Skelton Twp Advisory Board,,D,Warrick,Skelton 2,732,177,35,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Skelton 2,732,148,24,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Skelton 2,732,162,39,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Skelton 2,732,57,15,0
Tabitha Heilman,School Board Member,,NP,Warrick,Skelton 2,732,90,15,0
Elissa Jones,School Board Member,,NP,Warrick,Skelton 2,732,76,9,0
Rick Dean Madden,School Board Member,,NP,Warrick,Skelton 2,732,121,32,0
Candace S. Nance,School Board Member,,NP,Warrick,Skelton 2,732,93,17,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Skelton 2,732,42,11,0
Thomas L. Welch,School Board Member,,NP,Warrick,Skelton 2,732,117,25,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Skelton 2,732,161,31,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Skelton 2,732,197,30,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Skelton 2,732,78,21,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Skelton 2,732,199,30,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Skelton 2,732,71,20,0
Yes,Public Question,,,Warrick,Ohio 10,1198,238,93,0
No,Public Question,,,Warrick,Ohio 10,1198,100,39,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 10,1198,264,78,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 10,1198,169,100,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 10,1198,1,1,0
Write-In,U.S. Senate,,,Warrick,Ohio 10,1198,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 10,1198,271,83,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 10,1198,152,93,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 10,1198,11,2,0
Write-In,Secretary of State,,,Warrick,Ohio 10,1198,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 10,1198,267,78,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 10,1198,154,97,0
John Schick,Auditor of State,,L,Warrick,Ohio 10,1198,10,4,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 10,1198,277,83,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 10,1198,153,95,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 10,1198,275,85,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 10,1198,161,92,0
Write-In,U.S. House,8,,Warrick,Ohio 10,1198,0,1,0
Holli Sullivan,State House,78,R,Warrick,Ohio 10,1198,338,101,0
No Candidate Filed,State House,78,D,Warrick,Ohio 10,1198,0,0,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 10,1198,335,97,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 10,1198,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 10,1198,333,99,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 10,1198,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 10,1198,327,95,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 10,1198,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 10,1198,275,82,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 10,1198,152,94,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 10,1198,334,95,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 10,1198,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 10,1198,330,95,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 10,1198,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 10,1198,275,76,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 10,1198,155,100,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 10,1198,331,97,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 10,1198,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 10,1198,272,81,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 10,1198,159,96,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 10,1198,236,68,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 10,1198,219,66,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 10,1198,215,68,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 10,1198,118,71,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 10,1198,126,72,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 10,1198,133,74,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 10,1198,108,32,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 10,1198,109,43,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 10,1198,146,54,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 10,1198,82,33,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 10,1198,160,29,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 10,1198,67,27,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 10,1198,107,52,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 10,1198,152,36,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 10,1198,97,41,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 10,1198,152,55,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 10,1198,254,87,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 10,1198,78,31,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 10,1198,262,95,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 10,1198,72,25,0
Yes,Public Question,,,Warrick,Ohio 4,421,104,35,0
No,Public Question,,,Warrick,Ohio 4,421,47,9,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 4,421,84,16,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 4,421,96,34,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 4,421,2,0,0
Write-In,U.S. Senate,,,Warrick,Ohio 4,421,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 4,421,88,16,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 4,421,86,33,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 4,421,3,0,0
Write-In,Secretary of State,,,Warrick,Ohio 4,421,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 4,421,89,18,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 4,421,86,31,0
John Schick,Auditor of State,,L,Warrick,Ohio 4,421,2,0,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 4,421,94,20,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 4,421,84,29,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 4,421,97,15,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 4,421,84,34,0
Write-In,U.S. House,8,,Warrick,Ohio 4,421,0,0,0
Holli Sullivan,State House,78,R,Warrick,Ohio 4,421,130,28,0
No Candidate Filed,State House,78,D,Warrick,Ohio 4,421,0,0,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 4,421,128,28,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 4,421,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 4,421,129,28,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 4,421,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 4,421,132,28,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 4,421,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 4,421,96,19,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 4,421,83,30,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 4,421,133,30,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 4,421,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 4,421,134,27,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 4,421,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 4,421,91,16,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 4,421,86,33,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 4,421,129,28,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 4,421,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 4,421,106,19,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 4,421,76,31,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 4,421,90,15,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 4,421,76,12,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 4,421,73,15,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 4,421,66,27,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 4,421,80,29,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 4,421,70,27,0
Carol Hicks Schaefer,Town Council At-Lg Newburgh,,R,Warrick,Ohio 4,421,105,20,0
Kit Holland,Town Council At-Lg Newburgh,,D,Warrick,Ohio 4,421,73,30,0
Leanna K. Hughes,Town Council Dist 2 Newburgh,,R,Warrick,Ohio 4,421,58,15,0
Allyson Claybourn,Town Council Dist 2 Newburgh,,D,Warrick,Ohio 4,421,125,33,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 4,421,51,14,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 4,421,38,17,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 4,421,72,15,0
