precinct,office,district,candidate,party,votes,election_day,absentee,provisional
0001 BIGGER,COUNTY ASSESSOR,,RANDY SHEPHERD,REP,149,117,32,0
0001 BIGGER,COUNTY ASSESSOR,,KARIE A. WILSON,DEM,66,44,22,0
0001 BIGGER,COUNTY COMMISSIONER DISTRICT 3,,MATT SPORLEDER,REP,132,101,31,0
0001 BIGGER,COUNTY COMMISSIONER DISTRICT 3,,NICK MEGEL,DEM,89,66,23,0
0001 BIGGER,COUNTY COUNCIL DISTRICT 3,,BOB ELLIS,REP,164,123,41,0
0001 BIGGER,COUNTY COUNCIL DISTRICT 3,,"DANIEL (DAN) HOLT, SR.",DEM,52,39,13,0
0001 BIGGER,BIGGER TOWNSHIP TRUSTEE,,BOB ITELL,REP,185,135,50,0
0001 BIGGER,BIGGER TWNSP ADVISORY BOARD,,TREVOR DEAN LANE,REP,142,104,38,0
0001 BIGGER,BIGGER TWNSP ADVISORY BOARD,,FRANK GIBSON,DEM,83,62,21,0
0001 BIGGER,BIGGER TWNSP ADVISORY BOARD,,JERRY HUFFMAN,DEM,83,62,21,0
0001 BIGGER,SCHOOL BOARD - DISTRICT 4,,LACK CAMPBELL,,38,32,6,0
0001 BIGGER,SCHOOL BOARD - DISTRICT 4,,TONY DAEGER,,117,81,36,0
0001 BIGGER,SCHOOL BOARD - DISTRICT 4,,AMY PETTIT,,113,84,29,0
0001 BIGGER,SCHOOL BOARD - AT-LARGE,,STEVE ELMORE,,40,27,13,0
0001 BIGGER,SCHOOL BOARD - AT-LARGE,,JAIME GREATHOUSE,,35,25,10,0
0001 BIGGER,SCHOOL BOARD - AT-LARGE,,ALISHA ROBERTS,,22,14,8,0
0001 BIGGER,SCHOOL BOARD - AT-LARGE,,TRAVIS D. SHEPHERD,,79,56,23,0
0001 BIGGER,SCHOOL BOARD - AT-LARGE,,SUSAN STEARNS WAHLMAN,,149,123,26,0
0001 BIGGER,SUPREME COURT JUSTICE RETENTION,,YES,,107,77,30,0
0001 BIGGER,SUPREME COURT JUSTICE RETENTION,,NO,,57,45,12,0
0001 BIGGER,CRT OF APPEALS JUDICIAL RETENTION D2,,YES,,105,75,30,0
0001 BIGGER,CRT OF APPEALS JUDICIAL RETENTION D2,,NO,,59,47,12,0
0002 CAMPBELL,Registered Voters,,,,723,,,
0002 CAMPBELL,BALLOTS CAST - TOTAL,,,,360,288,72,0
0002 CAMPBELL,PUBLIC QUESTION #1,,YES,,183,149,34,0
0002 CAMPBELL,PUBLIC QUESTION #1,,NO,,94,72,22,0
0002 CAMPBELL,STRAIGHT PARTY,,REPUBLICAN,REP,70,61,9,0
0002 CAMPBELL,STRAIGHT PARTY,,DEMOCRATIC,DEM,30,13,17,0
0002 CAMPBELL,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2,0,0
0002 CAMPBELL,U.S. Senate,,MIKE BRAUN,REP,219,184,35,0
0002 CAMPBELL,U.S. Senate,,JOE DONNELLY,DEM,110,83,27,0
0002 CAMPBELL,U.S. Senate,,LUCY M. BRENTON,LIB,25,18,7,0
0002 CAMPBELL,U.S. Senate,,Write-ins,,0,0,0,0
0002 CAMPBELL,SECRETARY OF STATE,,CONNIE LAWSON,REP,234,195,39,0
0002 CAMPBELL,SECRETARY OF STATE,,JIM HARPER,DEM,102,73,29,0
0002 CAMPBELL,SECRETARY OF STATE,,MARK W. RUTHERFORD,LIB,12,10,2,0
0002 CAMPBELL,SECRETARY OF STATE,,Write-ins,,0,0,0,0
0002 CAMPBELL,AUDITOR OF STATE,,TERA KLUTZ,REP,233,190,43,0
0002 CAMPBELL,AUDITOR OF STATE,,JOSELYN WHITTICKER,DEM,101,76,25,0
0002 CAMPBELL,AUDITOR OF STATE,,JOHN SCHICK,LIB,14,12,2,0
0002 CAMPBELL,TREASURER OF STATE,,KELLY MITCHELL,REP,246,207,39,0
0002 CAMPBELL,TREASURER OF STATE,,JOHN C. AGUILERA,DEM,99,70,29,0
0002 CAMPBELL,U.S. House,6,GREG PENCE,REP,247,204,43,0
0002 CAMPBELL,U.S. House,6,JEANNINE LEE LAKE,DEM,97,71,26,0
0002 CAMPBELL,U.S. House,6,TOM FERKINHOFF,LIB,9,7,2,0
0002 CAMPBELL,U.S. House,6,Write-ins,,0,0,0,0
0002 CAMPBELL,State Senate,43,"CLYDE A. (CHIP) PERFECT, JR.",REP,281,232,49,0
0002 CAMPBELL,State Representative,67,RANDY FRYE,REP,261,218,43,0
0002 CAMPBELL,State Representative,67,CORDELLE FEUSTON,DEM,88,61,27,0
0002 CAMPBELL,PROSECUTING ATTORNEY,,BRIAN J. BELDING,REP,291,242,49,0
0002 CAMPBELL,CIRCUIT COURT CLERK,,AMY GWIN THOMPSON,REP,243,206,37,0
0002 CAMPBELL,CIRCUIT COURT CLERK,,RACHAEL SHAW,DEM,112,78,34,0
0002 CAMPBELL,COUNTY AUDITOR,,TESSIA SALSMAN,REP,198,168,30,0
0002 CAMPBELL,COUNTY AUDITOR,,KAY SUE VANCE,DEM,158,117,41,0
0002 CAMPBELL,COUNTY RECORDER,,MARY DORSETT KILGORE,REP,199,168,31,0
0002 CAMPBELL,COUNTY RECORDER,,SANDRA L. (SANDY) VANCE,DEM,153,116,37,0
0002 CAMPBELL,COUNTY SHERIFF,,WM. KENNY FREEMAN,REP,175,148,27,0
0002 CAMPBELL,COUNTY SHERIFF,,GARY M. DRIVER,DEM,180,135,45,0
0002 CAMPBELL,COUNTY ASSESSOR,,RANDY SHEPHERD,REP,231,196,35,0
0002 CAMPBELL,COUNTY ASSESSOR,,KARIE A. WILSON,DEM,115,81,34,0
0002 CAMPBELL,COUNTY COMMISSIONER DISTRICT 3,,MATT SPORLEDER,REP,212,175,37,0
0002 CAMPBELL,COUNTY COMMISSIONER DISTRICT 3,,NICK MEGEL,DEM,143,108,35,0
0002 CAMPBELL,COUNTY COUNCIL DISTRICT 3,,BOB ELLIS,REP,269,225,44,0
0002 CAMPBELL,COUNTY COUNCIL DISTRICT 3,,"DANIEL (DAN) HOLT, SR.",DEM,83,57,26,0
0002 CAMPBELL,CAMPBELL TOWNSHIP TRUSTEE,,MICHAEL L. MURPHY,REP,296,245,51,0
0002 CAMPBELL,CAMPBELL TWNSHP ADVISORY BOARD,,MICHAEL A. BOSWELL,REP,200,163,37,0
0002 CAMPBELL,CAMPBELL TWNSHP ADVISORY BOARD,,MICHAEL SHANE BOSWELL,REP,201,163,38,0
0002 CAMPBELL,CAMPBELL TWNSHP ADVISORY BOARD,,JOHN K. MOORE,REP,210,172,38,0
0002 CAMPBELL,SCHOOL BOARD - DISTRICT 4,,ZACK CAMPBELL,,76,58,18,0
0002 CAMPBELL,SCHOOL BOARD - DISTRICT 4,,TONY DAEGER,,181,146,35,0
0002 CAMPBELL,SCHOOL BOARD - DISTRICT 4,,AMY PETTIT,,162,126,36,0
0002 CAMPBELL,SCHOOL BOARD - AT-LARGE,,STEVE ELMORE,,77,61,16,0
0002 CAMPBELL,SCHOOL BOARD - AT-LARGE,,JAIME GREATHOUSE,,84,68,16,0
0002 CAMPBELL,SCHOOL BOARD - AT-LARGE,,ALISHA ROBERTS,,38,25,13,0
0002 CAMPBELL,SCHOOL BOARD - AT-LARGE,,TRAVIS D. SHEPHERD,,118,99,19,9
0002 CAMPBELL,SCHOOL BOARD - AT-LARGE,,SUSAN STEARNS WAHLMAN,,189,153,36,0
0002 CAMPBELL,SUPREME COURT JUSTICE RETENTION,,YES,,174,137,37,0
0002 CAMPBELL,SUPREME COURT JUSTICE RETENTION,,NO,,79,62,17,0
0002 CAMPBELL,CRT OF APPEALS JUDICIAL RETENTION D2,,YES,,176,139,37,0
0002 CAMPBELL,CRT OF APPEALS JUDICIAL RETENTION D2,,NO,,76,59,17,0
0003 CENTER EAST,Registered Voters,,,,615,,,
0003 CENTER EAST,BALLOTS CAST - TOTAL,,,,357,254,103,0
0003 CENTER EAST,PUBLIC QUESTION #1,,YES,,182,138,44,0
0003 CENTER EAST,PUBLIC QUESTION #1,,NO,,86,58,28,0
0003 CENTER EAST,STRAIGHT PARTY,,REPUBLICAN,REP,67,48,18,0
0003 CENTER EAST,STRAIGHT PARTY,,DEMOCRATIC,DEM,26,18,8,0
0003 CENTER EAST,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2,0,0
0003 CENTER EAST,U.S. Senate,,MIKE BRAUN,REP,221,169,52,0
0003 CENTER EAST,U.S. Senate,,JOE DONNELLY,DEM,112,71,41,0
0003 CENTER EAST,U.S. Senate,,LUCY M. BRENTON,LIB,19,13,6,0
0003 CENTER EAST,U.S. Senate,,Write-ins,,0,0,0,0
0003 CENTER EAST,SECRETARY OF STATE,,CONNIE LAWSON,REP,230,175,55,0
0003 CENTER EAST,SECRETARY OF STATE,,JIM HARPER,DEM,102,64,38,0
0003 CENTER EAST,SECRETARY OF STATE,,MARK W. RUTHERFORD,LIB,9,8,1,0
0003 CENTER EAST,SECRETARY OF STATE,,Write-ins,,0,0,0,0
0003 CENTER EAST,AUDITOR OF STATE,,TERA KLUTZ,REP,220,168,52,0
0003 CENTER EAST,AUDITOR OF STATE,,JOSELYN WHITTICKER,DEM,115,72,43,0
0003 CENTER EAST,AUDITOR OF STATE,,JOHN SCHICK,LIB,8,8,0,0
0003 CENTER EAST,TREASURER OF STATE,,KELLY MITCHELL,REP,246,185,61,0
0003 CENTER EAST,TREASURER OF STATE,,JOHN C. AGUILERA,DEM,92,61,31,0
0003 CENTER EAST,U.S. House,6,GREG PENCE,REP,236,179,57,0
0003 CENTER EAST,U.S. House,6,JEANNINE LEE LAKE,DEM,104,64,40,0
0003 CENTER EAST,U.S. House,6,TOM FERKINHOFF,LIB,8,6,2,0
0003 CENTER EAST,U.S. House,6,Write-ins,,0,0,0,0
0003 CENTER EAST,State Senate,43,"CLYDE A. (CHIP) PERFECT, JR.",REP,270,205,65,0
0003 CENTER EAST,State Representative,69,JIM LUCAS,REP,242,188,54,0
0003 CENTER EAST,State Representative,69,STEVE SCHOETTMER,DEM,109,63,46,0
0003 CENTER EAST,PROSECUTING ATTORNEY,,BRIAN J. BELDING,REP,288,218,70,0
0003 CENTER EAST,CIRCUIT COURT CLERK,,AMY GWIN THOMPSON,REP,220,168,52,0
0003 CENTER EAST,CIRCUIT COURT CLERK,,RACHAEL SHAW,DEM,127,79,48,0
0003 CENTER EAST,COUNTY AUDITOR,,TESSIA SALSMAN,REP,187,143,44,0
0003 CENTER EAST,COUNTY AUDITOR,,KAY SUE VANCE,DEM,162,105,57,0
0003 CENTER EAST,COUNTY RECORDER,,MARY DORSETT KILGORE,REP,187,147,40,0
0003 CENTER EAST,COUNTY RECORDER,,SANDRA L. (SANDY) VANCE,DEM,165,103,62,0
0003 CENTER EAST,COUNTY SHERIFF,,WM. KENNY FREEMAN,REP,162,115,47,0
0003 CENTER EAST,COUNTY SHERIFF,,GARY M. DRIVER,DEM,189,134,55,0
0003 CENTER EAST,COUNTY ASSESSOR,,RANDY SHEPHERD,REP,196,143,53,0
0003 CENTER EAST,COUNTY ASSESSOR,,KARIE A. WILSON,DEM,148,103,45,0
0003 CENTER EAST,COUNTY COMMISSIONER DISTRICT 3,,MATT SPORLEDER,REP,191,141,50,0
0003 CENTER EAST,COUNTY COMMISSIONER DISTRICT 3,,NICK MEGEL,DEM,154,104,50,0
0003 CENTER PAST,COUNTY COUNCIL DISTRICT 2,,RANDY GAUGER CREECH,REP,200,149,51,0
0003 CENTER PAST,COUNTY COUNCIL DISTRICT 2,,LARRY MASCHINO,DEM,141,95,46,0
0003 CENTER PAST,CENTER TOWNSHIP TRUSTEE,,HANNAH BRIGHT,REP,160,117,43,0
0003 CENTER PAST,CENTER TOWNSHIP TRUSTEE,,LAURIE DAEGER BLACKBURN,DEM,190,131,59,0
0003 CENTER PAST,CENTER TWNSHP ADVISORY BOARD,,CONNIE GAYLE OCHS,REP,188,140,48,0
0003 CENTER PAST,CENTER TWNSHP ADVISORY BOARD,,DAVE EDER,DEM,156,113,43,0
0003 CENTER PAST,CENTER TWNSHP ADVISORY BOARD,,DAN FOX,DEM,158,114,44,0
0003 CENTER PAST,SCHOOL BOARD - DISTRICT 4,,LACK CAMPBELL,,61,37,24,0
0003 CENTER PAST,SCHOOL BOARD - DISTRICT 4,,TONY DAEGER,,223,150,73,0
0003 CENTER PAST,SCHOOL BOARD - DISTRICT 4,,AMY PETTIT,,164,120,44,0
0003 CENTER PAST,SCHOOL BOARD - AT-LARGE,,STEVE ELMORE,,130,90,40,0
0003 CENTER PAST,SCHOOL BOARD - AT-LARGE,,JAIME GREATHOUSE,,76,47,29,0
0003 CENTER PAST,SCHOOL BOARD - AT-LARGE,,ALISHA ROBERTS,,37,26,11,0
0003 CENTER PAST,SCHOOL BOARD - AT-LARGE,,TRAVIS D. SHEPHERD,,110,69,41,0
0003 CENTER PAST,SCHOOL BOARD - AT-LARGE,,SUSAN STEARNS WAHLMAN,,149,113,36,0
0003 CENTER PAST,SUPREME COURT JUSTICE RETENTION,,YES,,169,124,45,0
0003 CENTER PAST,SUPREME COURT JUSTICE RETENTION,,NO,,93,68,25,0
0003 CENTER PAST,CRT OF APPEALS JUDICIAL RETENTION D2,,YES,,174,127,47,0
0003 CENTER PAST,CRT OF APPEALS JUDICIAL RETENTION D2,,NO,,86,63,23,0
0004 CENTER WEST,Registered Voters,,,,714,,,
0004 CENTER WEST,BALLOTS CAST - TOTAL,,,,442,337,105,0
0004 CENTER WEST,PUBLIC QUESTION #1,,YES,,238,190,48,0
0004 CENTER WEST,PUBLIC QUESTION #1,,NO,,91,71,20,0
0004 CENTER WEST,STRAIGHT PARTY,,REPUBLICAN,REP,88,64,24,0
0004 CENTER WEST,STRAIGHT PARTY,,DEMOCRATIC,DEM,25,13,12,0
0004 CENTER WEST,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,
0004 CENTER WEST,U.S. Senate,,MIKE BRAUN,REP,279,216,63,0
0004 CENTER WEST,U.S. Senate,,JOE DONNELLY,DEM,124,89,35,0
0004 CENTER WEST,U.S. Senate,,LUCY M. BRENTON,LIB,32,26,6,0
0004 CENTER WEST,U.S. Senate,,Write-ins,,0,0,0,0
0004 CENTER WEST,SECRETARY OF STATE,,CONNIE LAWSON,REP,293,228,65,0
0004 CENTER WEST,SECRETARY OF STATE,,JIM HARPER,DEM,112,79,33,0
0004 CENTER WEST,SECRETARY OF STATE,,MARK W. RUTHERFORD,LIB,15,12,3,0
0004 CENTER WEST,SECRETARY OF STATE,,Write-ins,,0,0,0,0
0004 CENTER WEST,AUDITOR OF STATE,,TERA KLUTZ,REP,281,221,60,0
0004 CENTER WEST,AUDITOR OF STATE,,JOSELYN WHITTICKER,DEM,118,83,35,0
0004 CENTER WEST,AUDITOR OF STATE,,JOHN SCHICK,LIB,17,12,5,0
0004 CENTER WEST,TREASURER OF STATE,,KELLY MITCHELL,REP,296,233,63,0
0004 CENTER WEST,TREASURER OF STATE,,JOHN C. AGUILERA,DEM,116,81,35,0
0004 CENTER WEST,U.S. House,6,GREG PENCE,REP,294,230,64,0
0004 CENTER WEST,U.S. House,6,JEANNINE LEE LAKE,DEM,125,89,36,0
0004 CENTER WEST,U.S. House,6,TOM FERKINHOFF,LIB,12,9,3,0
0004 CENTER WEST,U.S. House,6,Write-ins,,0,0,0,0
0004 CENTER WEST,State Senate,43,"CLYDE A. (CHIP) PERFECT, JR.",REP,333,258,75,0
0004 CENTER WEST,State Representative,69,JIM LUCAS,REP,300,233,67,0
0004 CENTER WEST,State Representative,69,STEVE SCHOETTMER,DEM,126,91,35,0
0004 CENTER WEST,PROSECUTING ATTORNEY,,BRIAN J. BELDING,REP,359,274,85,0
0004 CENTER WEST,CIRCUIT COURT CLERK,,AMY GWIN THOMPSON,REP,298,234,64,0
0004 CENTER WEST,CIRCUIT COURT CLERK,,RACHAEL SHAW,DEM,134,96,38,0
0004 CENTER WEST,COUNTY AUDITOR,,TESSIA SALSMAN,REP,243,190,53,0
0004 CENTER WEST,COUNTY AUDITOR,,KAY SUE VANCE,DEM,187,137,50,0
0004 CENTER WEST,COUNTY RECORDER,,MARY DORSETT KILGORE,REP,265,208,57,0
0004 CENTER WEST,COUNTY RECORDER,,SANDRA L. (SANDY) VANCE,DEM,163,117,46,0
0004 CENTER WEST,COUNTY SHERIFF,,WM. KENNY FREEMAN,REP,197,150,47,0
0004 CENTER WEST,COUNTY SHERIFF,,GARY M. DRIVER,DEM,239,182,57,0
0004 CENTER WEST,COUNTY ASSESSOR,,RANDY SHEPHERD,REP,248,191,57,0
0004 CENTER WEST,COUNTY ASSESSOR,,KARIE A. WILSON,DEM,179,135,44,0
0004 CENTER WEST,COUNTY COMMISSIONER DISTRICT 3,,MATT SPORLEDER,REP,229,173,56,0
0004 CENTER WEST,COUNTY COMMISSIONER DISTRICT 3,,NICK MEGEL,DEM,202,157,45,0
0004 CENTER WEST,COUNTY COUNCIL DISTRICT 2,,MANDY GAUGER CREECH,REP,273,212,61,0
0004 CENTER WEST,COUNTY COUNCIL DISTRICT 2,,LARRY MASCHINO,DEM,151,110,41,0
0004 CENTER WEST,CENTER TOWNSHIP TRUSTEE,,HANNAH BRIGHT,REP,231,177,54,0
0004 CENTER WEST,CENTER TOWNSHIP TRUSTEE,,LAURIE DAEGER BLACKBURN,DEM,203,152,51,0
0004 CENTER WEST,CENTER TWNSHP ADVISORY BOARD,,CONNIE GAYLE OCHS,REP,239,187,52,0
0004 CENTER WEST,CENTER TWNSHP ADVISORY BOARD,,DAVE EDER,DEM,205,158,47,0
0004 CENTER WEST,CENTER TWNSHP ADVISORY BOARD,,DAN FOX,DEM,212,167,45,0
0004 CENTER WEST,SCHOOL BOARD - DISTRICT 4,,ZACK CAMPBELL,,93,72,21,0
0004 CENTER WEST,SCHOOL BOARD - DISTRICT 4,,TONY DAEGER,,251,187,64,0
0004 CENTER WEST,SCHOOL BOARD - DISTRICT 4,,AMY PETTIT,,225,179,46,0
0004 CENTER WEST,SCHOOL BOARD - AT-LARGE,,STEVE ELMORE,,144,109,35,0
0004 CENTER WEST,SCHOOL BOARD - AT-LARGE,,JAIME GREATHOUSE,,100,78,22,0
0004 CENTER WEST,SCHOOL BOARD - AT-LARGE,,ALISHA ROBERTS,,42,31,11,0
0004 CENTER WEST,SCHOOL BOARD - AT-LARGE,,TRAVIS D. SHEPHERD,,148,108,40,0
0004 CENTER WEST,SCHOOL BOARD - AT-LARGE,,SUSAN STEARNS WAHLMAN,,224,177,47,0
0004 CENTER WEST,SUPREME COURT JUSTICE RETENTION,,YES,,218,168,50,0
0004 CENTER WEST,SUPREME COURT JUSTICE RETENTION,,NO,,103,79,24,0
0004 CENTER WEST,CRT OF APPEALS JUDICIAL RETENTION D2,,YES,,215,171,44,0
0004 CENTER WEST,CRT OF APPEALS JUDICIAL RETENTION D2,,NO,,105,78,27,0
0005 COLUMBIA,Registered Voters,,,,497,,,
0005 COLUMBIA,BALLOTS CAST - TOTAL,,,,286,236,50,0
0005 COLUMBIA,PUBLIC QUESTION #1,,YES,,147,123,24,
0005 COLUMBIA,PUBLIC QUESTION #1,,NO,,66,54,12,
0005 COLUMBIA,STRAIGHT PARTY,,REPUBLICAN,REP,66,54,12,0
0005 COLUMBIA,STRAIGHT PARTY,,DEMOCRATIC,DEM,26,22,4,0
0005 COLUMBIA,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,
0005 COLUMBIA,U.S. Senate,,MIKE BRAUN,REP,189,157,32,0
0005 COLUMBIA,U.S. Senate,,JOE DONNELLY,DEM,82,65,17,0
0005 COLUMBIA,U.S. Senate,,LUCY M. BRENTON,LIB,11,11,0,0
0005 COLUMBIA,U.S. Senate,,Write-ins,,1,1,0,0
0005 COLUMBIA,SECRETARY OF STATE,,CONNIE LAWSON,REP,206,174,32,0
0005 COLUMBIA,SECRETARY OF STATE,,JIM HARPER,DEM,72,55,17,0
0005 COLUMBIA,SECRETARY OF STATE,,MARK W. RUTHERFORD,LIB,4,4,0,0
0005 COLUMBIA,SECRETARY OF STATE,,Write-ins,,0,0,0,0
0005 COLUMBIA,AUDITOR OF STATE,,TERA KLUTZ,REP,194,163,31,0
0005 COLUMBIA,AUDITOR OF STATE,,JOSELYN WHITTICKER,DEM,74,56,18,0
0005 COLUMBIA,AUDITOR OF STATE,,JOHN SCHICK,LIB,9,9,0,0
0005 COLUMBIA,TREASURER OF STATE,,KELLY MITCHELL,REP,208,176,32,0
0005 COLUMBIA,TREASURER OF STATE,,JOHN C. AGUILERA,DEM,70,53,17,0
0005 COLUMBIA,U.S. House,6,GREG PENCE,REP,203,170,33,0
0005 COLUMBIA,U.S. House,6,JEANNINE LEE LAKE,DEM,75,60,15,0
0005 COLUMBIA,U.S. House,6,TOM FERKINHOFF,LIB,5,4,1,0
0005 COLUMBIA,U.S. House,6,Write-ins,,0,0,0,0
0005 COLUMBIA,State Senate,43,"CLYDE A. (CHIP) PERFECT, JR.",REP,223,187,36,0
0005 COLUMBIA,State Representative,67,RANDY FRYE,REP,214,181,33,0
0005 COLUMBIA,State Representative,67,CORDELLE FEUSTON,DEM,66,51,15,0
0005 COLUMBIA,PROSECUTING ATTORNEY,,BRIAN J. BELDING,REP,227,189,38,0
0005 COLUMBIA,CIRCUIT COURT CLERK,,AMY GWIN THOMPSON,REP,194,161,33,0
0005 COLUMBIA,CIRCUIT COURT CLERK,,RACHAEL SHAW,DEM,86,69,17,0
0005 COLUMBIA,COUNTY AUDITOR,,TESSIA SALSMAN,REP,169,141,28,0
0005 COLUMBIA,COUNTY AUDITOR,,KAY SUE VANCE,DEM,112,92,20,0
0005 COLUMBIA,COUNTY RECORDER,,MARY DORSETT KILGORE,REP,173,143,30,0
0005 COLUMBIA,COUNTY RECORDER,,SANDRA L. (SANDY) VANCE,DEM,109,90,19,0
0005 COLUMBIA,COUNTY SHERIFF,,WM. KENNY FREEMAN,REP,134,111,23,0
0005 COLUMBIA,COUNTY SHERIFF,,GARY M. DRIVER,DEM,150,123,27,0
0005 COLUMBIA,COUNTY ASSESSOR,,RANDY SHEPHERD,REP,170,141,29,0
0005 COLUMBIA,COUNTY ASSESSOR,,KARIE A. WILSON,DEM,112,91,21,0
0005 COLUMBIA,COUNTY COMMISSIONER DISTRICT 3,,MATT SPORLEDER,REP,177,143,34,0
0005 COLUMBIA,COUNTY COMMISSIONER DISTRICT 3,,NICK MEGEL,DEM,104,89,15,0
0005 COLUMBIA,COUNTY COUNCIL DISTRICT 3,,BOB ELLIS,REP,222,185,37,0
0005 COLUMBIA,COUNTY COUNCIL DISTRICT 3,,"DANIEL (DAN) HOLT, SR.",DEM,59,47,12,0
0005 COLUMBIA,COLUMBIA TOWNSHIP TRUSTEE,,PAMELA SPORLEDER,REP,218,181,37,0
0005 COLUMBIA,COLUMBIA TWNSHP ADVISORY BOARD,,LORI BROWN,REP,186,153,33,0
0005 COLUMBIA,COLUMBIA TWNSHP ADVISORY BOARD,,KYLE LAYMAN,REP,168,139,29,0
0005 COLUMBIA,COLUMBIA TWNSHP ADVISORY BOARD,,BRAD CAMPBELL,DEM,126,104,22,0
0005 COLUMBIA,SCHOOL BOARD - DISTRICT 4,,LACK CAMPBELL,,93,75,18,0
0005 COLUMBIA,SCHOOL BOARD - DISTRICT 4,,TONY DAEGER,,156,131,25,0
0005 COLUMBIA,SCHOOL BOARD - DISTRICT 4,,AMY PETTIT,,158,133,25,0
0005 COLUMBIA,SCHOOL BOARD - AT-LARGE,,STEVE ELMORE,,71,62,9,0
0005 COLUMBIA,SCHOOL BOARD - AT-LARGE,,JAIME GREATHOUSE,,76,65,11,0
0005 COLUMBIA,SCHOOL BOARD - AT-LARGE,,ALISHA ROBERTS,,53,45,8,0
0005 COLUMBIA,SCHOOL BOARD - AT-LARGE,,TRAVIS D. SHEPHERD,,105,81,24,0
0005 COLUMBIA,SCHOOL BOARD - AT-LARGE,,SUSAN STEARNS WAHLMAN,,152,127,25,0
0005 COLUMBIA,SUPREME COURT JUSTICE RETENTION,,YES,,133,104,29,0
0005 COLUMBIA,SUPREME COURT JUSTICE RETENTION,,NO,,87,75,12,0
0005 COLUMBIA,CRT OF APPEALS JUDICIAL RETENTION D2,,YES,,132,104,28,0
0005 COLUMBIA,CRT OF APPEALS JUDICIAL RETENTION D2,,NO,,87,14,13,0
0006 GENEVA 1 EAST,Registered Voters,,,,950,,,
0006 GENEVA 1 EAST,BALLOTS CAST - TOTAL,,,,522,402,120,0
0006 GENEVA 1 EAST,PUBLIC QUESTION #1,,YES,,274,216,58,0
0006 GENEVA 1 EAST,PUBLIC QUESTION #1,,NO,,131,106,25,0
0006 GENEVA 1 EAST,STRAIGHT PARTY,,REPUBLICAN,REP,117,83,34,0
